Malik Reilly, Dewgong, ape
Avery Quigley II, Vulpix, elephant
Kent Cassin, Onix, louse
Maurice Boyer, Blastoise, jellyfish
Ms. Jordon Prohaska, Graveler, herring
Antwan Kris, Dratini, mink
Mr. Terica Hartmann, Metapod, crow
Bill Zboncak, Poliwrath, alpaca
Dr. Mallory Effertz, Nidorina, bat
Ellen Kautzer DVM, Nidoran, duck
Cordell Sanford, Hypno, prairie dog
Shanita Jones, Scyther, llama
Lindsey Prohaska, Abra, jackal
Sylvester Schinner DVM, Poliwag, raccoon
Mrs. Von Bradtke, Vulpix, prairie dog
Danae Ferry, Kadabra, moose
Quintin Schoen, Rhyhorn, jellyfish
Elise Ryan II, Graveler, grasshopper
Val Wolff, Magikarp, platypus
Micheal Altenwerth, Poliwag, panda
Ms. Marilou Grimes, Mr. Mime, deer
Jon Wilderman Jr., Spearow, platypus
Kemberly Emmerich, Starmie, giraffe
Mr. Norberto Hahn, Gloom, mallard
Sherman Crist Jr., Moltres, muskrat
Michell Lemke, Mewtwo, baboon
Barrett Mueller, Caterpie, mouse
Shawnda Pagac, Magmar, muskrat
Rosendo Wolff, Raticate, clam
Mitzie Dickens MD, Weepinbell, squirrel
Miss Kelsi Halvorson, Kangaskhan, gerbil
Miss Corliss Nienow, Arcanine, mouse
Miss Numbers Bosco, Horsea, mammoth
Miss Pasty Bernhard, Lickitung, armadillo
Hipolito Tremblay, Starmie, rabbit
Merrill Conn MD, Charmeleon, clam
Forrest Batz, Omastar, duck
Quinn Shanahan, Gyarados, hare
Fletcher Strosin, Seaking, eagle
Elvin Gislason, Krabby, leopard
Mrs. Jina Goodwin, Charmeleon, snail
Miss Demarcus Kertzmann, Caterpie, clam
Everette Altenwerth, Primeape, kangaroo
Nola Willms, Onix, water buffalo
Mrs. Milton Quigley, Diglett, serval
Theresa Johnson, Dragonair, minnow
Dr. Maple Maggio, Pidgeotto, fly
Brain Bins, Slowpoke, hyena
Mr. Coreen Hilll, Electabuzz, jellyfish
Barbara Kunze, Fearow, coyote
