Ms. Alton Schinner, Onix, hound
Delta Wiza, Arbok, armadillo
Caitlin Schulist, Cubone, clam
Adolph Spinka, Alakazam, ape
Emil Steuber, Clefairy, frog
Dr. Evon Gaylord, Charmander, donkey
Bryant Schoen, Weezing, donkey
Lashaun Lockman, Koffing, rat
Lu Macejkovic, Victreebel, ant
Gilberte Rempel, Primeape, wasp
Sammy Cassin, Clefable, caribou
Anjelica Deckow, Electrode, herring
Ozzie Botsford, Lickitung, elk
Bryan Keeling, Magikarp, mallard
Santiago Langosh, Venomoth, grasshopper
Irena Hauck, Porygon, reindeer
Mrs. Terence Wolf, Ponyta, platypus
Raisa Schiller, Doduo, cod
Carleen Wyman, Mewtwo, ox
Toby Stokes, Venonat, jellyfish
Garfield Shanahan, Nidorina, rabbit
Diedra Schuppe, Porygon, alligator
Hal Kozey, Gloom, mosquito
Ms. Jennifer Zemlak, Gloom, kangaroo
Kate Kilback V, Golduck, cockroach
Tony Fisher PhD, Muk, giraffe
Austin Thiel, Bellsprout, oyster
Mauro Marks, Tentacruel, koala
Le Jacobi, Metapod, minnow
Bernie Kub, Slowpoke, gerbil
Amiee Gutkowski, Doduo, impala
Bebe Beatty, Drowzee, panda
Marya Lueilwitz, Kingler, jellyfish
Ms. Luella Harris, Cloyster, coyote
Sherril Flatley, Kangaskhan, toad
Mr. Cornelia Bogisich, Arbok, armadillo
Rebecca Mitchell, Blastoise, raccoon
Stanley Tromp DVM, Seaking, hornet
Bobbie Ferry, Dewgong, dinosaur
Nerissa Hilpert, Dragonite, mink
Shasta Ondricka V, Geodude, wallaby
Lorenzo Bednar, Snorlax, minnow
Janella Harvey, Clefable, rat
Miss Bee Hickle, Dragonite, llama
Miss Joseph Schroeder, Jynx, dinosaur
Miquel Dooley, Moltres, hare
Quinton Steuber, Gloom, leopard
Kenneth VonRueden, Slowbro, prairie dog
Corey Hegmann V, Dragonair, sea lion
Santos Hamill, Nidoking, bat
