Mr. Adrianne Glover, Dewgong, muskrat
Mitch Emard, Caterpie, shark
Stephaine Champlin, Caterpie, tortoise
Valentin Mayert, Dodrio, mink
Katelyn Spinka, Nidoqueen, herring
Renate Jenkins, Tauros, caribou
Dale Reinger, Flareon, panda
Lady Smitham PhD, Kabutops, minnow
Vance Boehm, Snorlax, porpoise
Dr. Harland Pfannerstill, Lapras, chinchilla
Mr. Marisol Franecki, Magikarp, hare
Romana Ernser, Jigglypuff, badger
Williams Schuster I, Poliwhirl, wallaby
Belva Herman, Wigglytuff, oyster
Jean Ratke, Pidgey, beaver
Booker Brakus V, Venomoth, gnat
Lorette Goodwin, Jigglypuff, beaver
Dr. Callie Nolan, Drowzee, impala
Jerrold Wintheiser, Tauros, swan
Rudy Zboncak, Farfetch'd, rabbit
Yan Johns, Exeggutor, hornet
Miss Benjamin Nader, Dodrio, gerbil
Janita Kulas, Vulpix, mammoth
Maegan Sipes, Alakazam, grasshopper
Miss Danilo Zieme, Magnemite, grasshopper
Harvey Mayer, Shellder, raccoon
Chang Wisozk, Kadabra, squirrel
Stewart Witting, Jynx, ferret
Julie Gutkowski, Vileplume, guinea pig
Mrs. Lino Dietrich, Doduo, muskrat
Zachary Wilderman, Scyther, cattle
Vance Block MD, Clefairy, caribou
Miss Jerry Walter, Mankey, pig
Lasonya Becker, Geodude, dinosaur
Horace Murphy, Mr. Mime, locust
Lindsay Bins MD, Articuno, impala
Edna Flatley, Cubone, wombat
Mike Gutmann, Weedle, hound
Mrs. Doloris Kunde, Seadra, tiger
Larissa Rodriguez, Kangaskhan, donkey
Rocco Bashirian, Moltres, hippopotamus
Miss Franchesca Bahringer, Dragonite, camel
Alva Kovacek, Zapdos, serval
Nanette Ortiz, Golduck, tortoise
Laurence Davis, Primeape, donkey
Ms. Jeff Hermann, Seadra, wolf
Chet Kautzer, Abra, beaver
Miss Emilia Mayert, Grimer, wildebeest
Van DuBuque, Pidgey, cattle
Ariane Howe Sr., Lapras, koala
