Miss Altha Nicolas, Vulpix, goldfish
Amy Ritchie DVM, Starmie, gerbil
Winter Smitham DDS, Rattata, caribou
Violette Bednar, Geodude, mink
Sandie Yundt, Marowak, salmon
Kandis Reichel, Nidoking, monkey
Myong Corwin, Weedle, beetle
Corey Osinski Sr., Gastly, badger
Gavin Ziemann, Arcanine, prairie dog
Jerrold Ortiz IV, Farfetch'd, zebra
Phylicia Orn II, Rapidash, wolf
Rodney Spencer, Drowzee, cattle
Refugio Casper, Squirtle, ant
Mrs. Rachal VonRueden, Ekans, gnu
Gabrielle Jacobs, Kabutops, swan
Alla Schamberger IV, Parasect, coyote
Lamont Steuber, Venusaur, seal
Darren Stanton, Muk, clam
Otis Kilback, Machoke, shark
Buford O'Keefe, Onix, dolphin
Duane Langworth I, Parasect, crow
Hellen McDermott, Goldeen, beetle
Scotty Rau, Jigglypuff, pug
Miss Tom Dicki, Butterfree, llama
Viviana Lindgren, Victreebel, beetle
Shari Marvin, Staryu, jellyfish
Dennis Murazik, Jolteon, spider
Shelton Kuvalis, Ivysaur, snail
Shawn Prohaska, Venomoth, rat
Shelby Kozey II, Porygon, hippopotamus
Miss Titus Willms, Abra, camel
Mr. Carmelo Prosacco, Cloyster, marten
Mrs. Bradford Gerhold, Seel, leopard
Lakenya Waelchi, Dragonair, weasel
Michale Stehr, Jigglypuff, whale
Mrs. Eliseo Powlowski, Dewgong, mammoth
Rueben Schultz V, Tentacruel, jellyfish
Jamal Mohr Jr., Venusaur, wildebeest
Jewell Cronin, Dratini, bear
Miss Julian Gerlach, Oddish, hippopotamus
Gabriele Keebler, Drowzee, turtle 
Carma Mertz I, Electabuzz, reindeer
Cheryll Lindgren, Hitmonlee, marten
Lamar Waters I, Jynx, panda
Albert Bauch, Magmar, mammoth
Belia Jerde, Golduck, coyote
Chet Rodriguez PhD, Seadra, coyote
Lasandra Parisian, Jigglypuff, elk
Ernesto Cole, Seel, spider
Ms. Young Terry, Charizard, pig
