Vannessa Murray, Horsea, water buffalo
Bret Cronin, Machamp, dolphin
Alex Conroy PhD, Scyther, cod
Lorrie VonRueden, Pinsir, marten
Mrs. Concetta Cole, Pikachu, snake
Vicenta Prohaska, Charmander, wasp
Juana Swaniawski, Sandslash, ant
Pat O'Kon, Krabby, wasp
Coral Tremblay MD, Kadabra, tortoise
Mariko Klein, Jigglypuff, frog
Mr. Thelma Keebler, Articuno, marten
Alvin Bogisich V, Mankey, reindeer
Alyse Strosin, Meowth, mallard
Emmanuel Goodwin, Moltres, elk
Evangelina Murazik, Haunter, hedgehog
Hyman Weissnat, Seaking, bee
Miss Loriann Murphy, Sandshrew, mule
Gina Emard, Wartortle, duck
Scottie Murphy, Gyarados, sheep
Theodora VonRueden, Mewtwo, clam
Becky Goyette, Growlithe, ferret
Rossie Cremin, Starmie, llama
Ms. Luis Huel, Flareon, salmon
Taina Wilderman, Weedle, trout
Emerald Rempel, Butterfree, porpoise
Alan Adams, Geodude, worm
Benny Mohr, Charmander, tortoise
Mrs. Johnette Carter, Gyarados, crocodile
Karin Durgan, Lapras, dolphin
Paul Conroy, Nidoran, eagle
Evonne Huels, Squirtle, mallard
Seymour Maggio, Nidoran, shark
Freddie Kovacek, Horsea, horse
Julian Hickle, Magikarp, elephant
Daron Gerlach, Electrode, badger
Chung McKenzie, Gyarados, locust
Jerrold Breitenberg, Hypno, dog
Francis Kris, Blastoise, badger
Dylan Schowalter, Poliwrath, gorilla
Nikita Marvin, Slowbro, trout
Mr. Curtis Purdy, Gloom, rabbit
Adriane Hauck, Rapidash, jellyfish
Galen Wuckert V, Psyduck, weasel
Irina Russel, Electrode, pig
Adam Orn, Pidgeot, chinchilla
Teri Grant, Porygon, serval
Tim Ziemann, Drowzee, scorpion
Mrs. Gerald Howe, Spearow, tiger
Francene Ondricka, Victreebel, gorilla
Millard Grimes, Gloom, skunk
