Quinn Shanahan V, Wartortle, mouse
Ms. Houston Champlin, Zapdos, ox
Dawne Okuneva, Pidgey, yak
Richard Gutmann, Wartortle, porpoise
Ms. Fredrick Schaden, Vaporeon, mallard
Yael Gleason, Blastoise, swan
Ervin Huel IV, Paras, coyote
Oswaldo Ankunding, Muk, leopard
Cherryl Leffler II, Onix, snail
Shelba Howell, Diglett, eel
Dori Hirthe I, Hypno, hedgehog
Stan Christiansen II, Golbat, duck
Joann Paucek Jr., Poliwhirl, donkey
Constance Hills II, Muk, dolphin
Miles Rutherford, Geodude, goldfish
Mr. Pia Lakin, Tauros, mouse
Dexter Hoeger, Jigglypuff, wasp
Mrs. Tomi Runte, Arbok, walrus
Lai Morissette, Machop, frog
In Cassin, Gloom, sea lion
Dani Nitzsche, Starmie, wombat
Velva Collier II, Vulpix, donkey
Ruthie Considine, Doduo, salmon
Kathe Roberts, Kadabra, frog
Maximo Pacocha, Grimer, cicada
Mr. Elisha Champlin, Hitmonchan, rabbit
Kristy Padberg, Chansey, wombat
Shaquita Koelpin II, Weezing, gorilla
Lamar Buckridge III, Staryu, panda
Miss Joi Pfeffer, Ivysaur, wasp
Eryn Barrows, Dragonair, gerbil
Jeremy Dare, Snorlax, eel
Noella Turner DDS, Flareon, muskrat
Max Schowalter V, Jolteon, goldfish
Wei Hoeger, Magnemite, chinchilla
Alicia Hansen, Poliwrath, porcupine
Elaina Reichel I, Venonat, butterfly
Nickolas Corkery, Rhyhorn, ox
Willetta Lubowitz MD, Charmeleon, beaver
Hortense Hudson, Porygon, moose
Miss Roger Stracke, Golbat, chimpanzee
Dayle Kutch, Weezing, giraffe
Hien Rempel, Snorlax, koala
Renato Casper DVM, Exeggcute, zebra
Dr. Charlsie Heidenreich, Arbok, gnu
Benedict Stoltenberg, Tangela, sea lion
Paulene Lesch, Omastar, tortoise
Dr. Francesco Jaskolski, Parasect, hyena
Jesusa Barrows, Venomoth, sheep
Zandra Muller, Dragonair, leopard
