Kathaleen Schinner II, Weedle, armadillo
Sheryll Mraz, Spearow, cockroach
Dillon Ankunding, Diglett, wildebeest
Dr. Mica Waelchi, Charizard, crab
Cary Ratke, Ditto, gerbil
Marquerite Corkery, Electabuzz, porcupine
Jamika Schmitt, Arcanine, snake
Mrs. Kip Becker, Machoke, shark
Mason Hermiston, Vulpix, macaw
Rich Kemmer, Haunter, raccoon
Krystal Ritchie, Ninetales, snail
Clarita Roberts, Rapidash, zebra
Dr. Jarrod Mann, Magnemite, chimpanzee
Eboni Zemlak, Weepinbell, camel
Clair Schuppe, Nidoran, impala
Noble Smitham, Meowth, ox
Christia Powlowski, Kabutops, yak
Amy Lind DDS, Horsea, sheep
Otelia Runolfsdottir, Kabuto, dog
Nathanial Wolf, Arcanine, raccoon
Mireya Upton, Dragonite, beetle
Colby Torphy, Charmander, goose
Margherita Buckridge II, Sandshrew, horse
Miss Sunday Kshlerin, Starmie, grasshopper
Werner Boyer, Poliwag, rhinoceros
Awilda Krajcik, Ekans, ant
Faye Lueilwitz, Vulpix, wasp
Dr. Quentin Abshire, Squirtle, leopard
Giuseppe Armstrong, Pidgey, mallard
Bernie Wehner, Seaking, sea lion
Dr. Claudio Reilly, Vulpix, hound
Eulah Littel DVM, Voltorb, badger
Cristopher Roberts Sr., Nidoqueen, mule
Angel Turcotte IV, Mewtwo, raven
Ms. Andres Pollich, Fearow, rhinoceros
Wilfredo Daugherty, Hitmonchan, salmon
Rogelio Brekke, Squirtle, eel
Alfonso Kilback, Vaporeon, weasel
Creola Collins V, Dewgong, cicada
Josiah Streich, Machamp, porcupine
Antione Feest, Mankey, eagle
Kenton Kunze, Ekans, mouse
Ching Schultz DDS, Ivysaur, hippopotamus
Ulysses O'Hara, Vileplume, bat
Katina Tillman MD, Hitmonchan, hornet
Tiffaney Boyle, Golem, whale
Bobby Kohler, Koffing, mosquito
Andrea Fadel Jr., Psyduck, seal
Reinaldo Hackett, Weepinbell, elk
Leonardo Homenick, Pinsir, camel
