Columbus Altenwerth MD, Fearow, scorpion
Sterling Stokes, Hypno, clam
Tangela Koch, Kangaskhan, gerbil
Alysha Turner II, Vulpix, crow
Dario Torphy, Weepinbell, rhinoceros
Leon Lynch V, Sandslash, cattle
Ozell Cremin, Raichu, jellyfish
Sandi Schmidt, Marowak, walrus
Latonya Johns, Venonat, salmon
Tracy Crooks, Caterpie, rhinoceros
Quentin Harris, Gloom, guinea pig
Micah Herman, Goldeen, serval
Hoa Marquardt, Tangela, termite
Ali Crona, Dewgong, gorilla
Lewis Gutkowski, Machamp, buffalo
Andy Lowe, Poliwhirl, donkey
Teddy Runte, Rhydon, alligator
Bronwyn MacGyver, Hitmonchan, rat
Danica Koepp, Krabby, tortoise
Mr. Luciano Volkman, Wigglytuff, wolf
Xavier Lehner III, Gloom, pig
Lovetta Feest DVM, Nidoran, beaver
Nyla Huels, Tentacruel, mallard
Miss Aline Strosin, Tauros, jackal
Dr. Eugenie Beer, Cubone, crocodile
Mrs. Jannie McGlynn, Tangela, cicada
Corinna Kirlin IV, Hitmonlee, elephant
Shane Zemlak Jr., Slowpoke, crocodile
Courtney O'Kon, Vulpix, tiger
Justina Gerhold, Wartortle, ape
Rosana Ondricka, Dragonair, turtle 
Herman Kohler V, Spearow, cicada
Cecil Dach Sr., Krabby, hamster
Sydney Torp, Seaking, giraffe
Tyson Jerde, Arbok, bear
Timmy Stehr, Vileplume, wildebeest
Inga Lindgren I, Staryu, alligator
Ms. Miss Kling, Onix, duck
Phillip Powlowski, Machop, guinea pig
Rusty Mayert, Machoke, locust
Leia Huels, Charizard, crow
Deedee Kuphal, Shellder, bee
Dee Moen Jr., Ekans, badger
Racquel Kub, Psyduck, caribou
Rex Bayer, Psyduck, baboon
Jonathon Christiansen V, Venonat, macaw
Trudi Wolf, Exeggcute, macaw
Rob Weissnat IV, Machoke, snake
Dr. Micki Macejkovic, Snorlax, antelope
Peter Mills, Wigglytuff, hare
