Glenn Lind IV, Golduck, wasp
Dr. Anton Ernser, Lickitung, minnow
Jarred Durgan, Gastly, jellyfish
Edwin Kunze, Mankey, locust
Keiko Christiansen, Dragonair, frog
Solange Schulist, Venomoth, toad
Myong Bednar, Omastar, hippopotamus
Chuck Baumbach III, Pinsir, buffalo
Miss Carlota Waters, Aerodactyl, trout
Darrell Bailey, Sandshrew, mole
Domenic Purdy, Dugtrio, water buffalo
Whitney O'Hara, Jynx, wasp
Estelle Schmitt, Tangela, crab
Mauro O'Conner, Hitmonlee, badger
Scottie Fahey, Rattata, goose
Emilio Reynolds Sr., Persian, oyster
Roy Rau, Magikarp, pug
Peter Reilly, Nidoking, ox
Lorenzo Wehner DDS, Flareon, gnat
Miss Li Skiles, Hitmonchan, macaw
Miss Lanell Dickens, Exeggutor, shark
Reatha Bins, Dragonite, bat
Alda Nicolas, Staryu, herring
Takisha Ankunding, Nidoran, squirrel
Rosie Toy, Mew, buffalo
Elias Gleichner, Jynx, seal
Cedric Flatley, Pidgeotto, gerbil
Matthew Bogisich, Zapdos, horse
Hassan McKenzie, Machop, hare
Rickie Crona, Pikachu, porcupine
Dr. David Sawayn, Slowbro, baboon
Lou Wilderman, Tentacool, water buffalo
Lucien West, Paras, termite
Mrs. Ricky Hickle, Magmar, clam
Timothy O'Connell, Golbat, mallard
Mrs. Michel Spinka, Geodude, crocodile
Miss Alaine Lindgren, Jolteon, cicada
Jon Toy, Pinsir, cricket
Sophia Rogahn, Metapod, woodchuck
Miss Donte Swaniawski, Eevee, skunk
Nakesha Yost, Koffing, cod
Ignacio Leuschke, Weedle, rabbit
Jolyn Bogisich, Lapras, antelope
Kimberli Goldner, Poliwag, donkey
Sung Lindgren V, Sandslash, impala
Mr. Anita Krajcik, Hypno, mole
Joshua Brekke, Kangaskhan, ant
Akiko Moen, Porygon, hornet
Joey Douglas I, Dratini, baboon
Stanford Bergstrom, Dewgong, seal
