Filiberto Walsh, Venusaur, monkey
Claude Jenkins, Farfetch'd, gnat
Cruz Douglas, Porygon, goat
Jae Wilkinson, Charizard, panda
Santos Bashirian, Zubat, llama
Warren Kuhn, Farfetch'd, wombat
Jacques Parker, Golbat, alligator
Humberto Doyle, Rattata, hippopotamus
Tony Shields, Starmie, marten
Myung Beatty, Omanyte, bear
Gaynell Zulauf DVM, Sandshrew, beaver
Andre Schuster, Dragonite, hamster
Alfonzo Bergnaum, Gyarados, cod
Gerald Lehner, Golduck, reindeer
Isabella Morissette, Onix, squirrel
Ms. Laverne Parker, Dratini, rabbit
Lashandra Koelpin II, Omanyte, fly
Miss Nohemi Quitzon, Blastoise, impala
Peter Streich, Farfetch'd, fox
Bennett MacGyver, Alakazam, zebra
Lucas Streich, Raticate, spider
Lemuel Robel, Staryu, mosquito
Julissa Leuschke, Bulbasaur, trout
Marquita Schmitt, Diglett, trout
Gaston McDermott, Ponyta, water buffalo
Vince Labadie, Nidoqueen, donkey
Yasmin Wunsch, Gyarados, sheep
Lynwood Stark, Omastar, clam
Mr. Mireya Gaylord, Seadra, frog
Joslyn Homenick III, Chansey, bat
Mimi Roob, Hypno, caribou
Shemeka Herman, Omastar, herring
Mr. Providencia Beier, Wigglytuff, toad
Miss Ardell Considine, Gengar, walrus
Dorothy Huel, Horsea, dinosaur
Evon Pagac, Goldeen, rhinoceros
Marchelle Lebsack, Electabuzz, pug
Trent Pacocha DDS, Rapidash, dog
Sherman Kuphal, Golbat, sheep
Archie Goyette II, Gyarados, cod
Phung Kunze, Gengar, toad
Joy Hoeger, Nidoran, guinea pig
Milford Turcotte, Nidorina, seal
Dr. Tifany Schaden, Kabuto, alligator
Christene Hills DDS, Chansey, crab
Laraine Little, Rattata, frog
Conrad Medhurst, Ditto, alpaca
Tristan Murphy, Wigglytuff, jellyfish
Angelena Langworth, Arbok, mule
Russell Batz, Arbok, camel
