Nina Gutkowski, Arcanine, dog
Wilford Terry, Ditto, porpoise
Mr. Estefana Kozey, Magneton, pug
Lance Lowe, Machop, antelope
Tracee Marvin II, Abra, leopard
Sabine Simonis, Cloyster, dolphin
Arianne Wisozk, Golduck, skunk
Dr. Elba Ernser, Hitmonchan, deer
Frances Littel, Machop, jellyfish
Timmy Swaniawski, Ivysaur, seal
King Conn, Jolteon, minnow
Miss Stuart Conroy, Jolteon, seal
Sean Koss, Paras, termite
Gretchen Runolfsdottir II, Seaking, herring
Dr. Kendrick Feil, Ponyta, porpoise
Lena Reynolds, Paras, zebra
Dewitt Huels, Persian, eel
Jamison Tremblay MD, Tangela, fox
Mrs. Sunny Hauck, Nidorina, sheep
Maximo Braun, Koffing, crow
Troy Frami, Venomoth, raven
Miss Mariano Jones, Articuno, snail
Ivan Rohan, Nidoran, donkey
Dr. Tarah Tromp, Aerodactyl, lion
Landon Prosacco, Primeape, sardine
Dion Rodriguez, Golem, zebra
Minh Price, Charmander, donkey
Jonell Erdman, Nidoran, llama
Jude Schmitt, Blastoise, hippopotamus
Ms. Efren Collier, Porygon, guinea pig
Merissa Wintheiser, Growlithe, cicada
Chet Heller, Growlithe, bear
Lacy Schneider, Weepinbell, ox
Wiley Auer III, Nidoran, yak
Flora Schmidt Sr., Eevee, rhinoceros
Naomi Zboncak, Persian, goose
Davis Bernier, Golem, toad
Lourdes Bartoletti, Weedle, cheetah
Kasey Barton, Dewgong, woodchuck
Orlando Blanda, Nidorina, crow
Lizzette Bahringer, Mew, hyena
Maricela Kerluke, Electrode, reindeer
Miss Love Frami, Poliwrath, fox
Emery Murphy, Victreebel, seal
Roseanna Considine, Butterfree, skunk
Andy McGlynn, Goldeen, camel
Leida Zulauf, Cloyster, baboon
Ms. Blake Crooks, Raticate, tortoise
Adalberto Kling, Ninetales, sardine
Beau Sporer, Jolteon, fly
