Artie Grimes, Pikachu, tiger
Mr. Sid O'Keefe, Parasect, cheetah
Mr. Domingo Ratke, Nidoking, yak
Randy Parisian, Moltres, gnat
Sharri Dach, Machop, macaw
Rosario Spencer, Doduo, llama
Yang Tremblay, Weepinbell, gerbil
Fermin Schamberger, Doduo, chimpanzee
Lesley Toy, Tentacool, monkey
Miss Tyler Carroll, Wigglytuff, buffalo
Ray Streich, Pikachu, bat
Teodoro Ferry, Vulpix, pig
Toney Bartell, Victreebel, elephant
Reed Kessler, Doduo, alpaca
Latanya Casper V, Articuno, baboon
Shelby Daugherty DVM, Golbat, manatee
Edison Mayer Sr., Jigglypuff, rabbit
Kelsie Schimmel, Ditto, moose
Ocie Crona, Tauros, gnu
Carmelina Ortiz, Ponyta, coyote
Junior Kohler, Gloom, manatee
Ouida Crist, Arcanine, herring
Le Boyer, Articuno, elk
Delpha Jacobs, Aerodactyl, porcupine
Cordie Kunde, Victreebel, chimpanzee
Domenic Robel, Voltorb, buffalo
Mrs. Lucio Hilll, Starmie, mink
Alex Klocko PhD, Aerodactyl, goose
Wilfredo Borer, Electrode, ox
Benny White, Magneton, termite
Bernard Bednar, Weepinbell, tiger
Clarissa Huel, Nidoking, mule
Mr. Brad Prosacco, Zubat, monkey
Taylor Spencer, Staryu, marten
Calvin Shanahan V, Eevee, impala
Andreas Gutkowski, Flareon, skunk
Florencia Volkman MD, Kakuna, goat
Trinidad Hoppe, Venomoth, coyote
Isaura Breitenberg, Sandshrew, trout
Awilda Cremin DDS, Growlithe, trout
Pearlene McGlynn, Poliwag, raccoon
Nathaniel Waters, Sandshrew, llama
Ralph Prohaska, Gyarados, squirrel
Mona Jenkins, Poliwhirl, hedgehog
Olimpia Koss IV, Exeggutor, rhinoceros
Shawn Cummerata I, Jynx, wildebeest
Miss Kraig Stoltenberg, Kadabra, mallard
Edwardo Dare, Arcanine, shark
Rima Jones, Omanyte, squirrel
Miss Tomas Schmitt, Arbok, rhinoceros
