Ali Sporer, Drowzee, mole
Modesto Murray I, Blastoise, alpaca
Armand Kessler, Dodrio, dolphin
Hester Satterfield DDS, Magnemite, gnat
Mrs. Joette Mills, Gloom, scorpion
Anita Bogan, Vulpix, hedgehog
Leigha Bauch, Mankey, chinchilla
Jacelyn Ankunding Sr., Krabby, alpaca
Mr. Myles Towne, Bulbasaur, gorilla
Carry Bosco, Kakuna, fly
Wendi Harvey, Primeape, gerbil
Kathleen Flatley, Zubat, mole
Adam Bauch, Meowth, eagle
Jefferey Kiehn Jr., Chansey, rabbit
Dee Davis, Articuno, baboon
Alita Morar, Persian, oyster
Loraine Haag, Dratini, coyote
Chanell Bernhard Jr., Horsea, crab
Verline Kassulke, Lickitung, porpoise
Mr. Laronda Towne, Marowak, elk
Shirlee Lindgren, Kabutops, fish
Bennie Labadie MD, Lickitung, wolf
Antonette Corkery, Magneton, hornet
Christy Pollich, Krabby, mosquito
Sean Swaniawski, Doduo, herring
Apryl Jacobson, Hypno, duck
Tempie Price, Vaporeon, giraffe
Darrell Ferry, Jynx, ox
Pasquale Upton, Golduck, kangaroo
Mozelle Kozey, Diglett, raven
Corey Franecki, Articuno, goldfish
Lenita Prohaska, Kabuto, oyster
Romeo Rippin, Articuno, porcupine
Mrs. Tuan Wilderman, Raticate, wolf
Salome Dooley, Graveler, mule
Peggy Steuber, Staryu, muskrat
Devora McLaughlin I, Golduck, goat
Les Mann, Geodude, llama
Jose Hoppe, Machoke, gnat
Val Brakus, Slowbro, elephant
Mrs. Enriqueta Sporer, Doduo, goose
Mitchel Reynolds, Pidgey, fly
Gregg Goldner III, Seadra, beetle
Kristopher Fay, Rapidash, moose
Lashon Miller, Victreebel, ape
Shoshana Ankunding, Slowpoke, coyote
Leanora Ratke, Porygon, louse
Heather Orn, Spearow, otter
Mao Dickens, Grimer, dog
Hilda Crona, Jolteon, goose
