Jamal Crist, Venusaur, llama
Mr. Lillian Kilback, Sandslash, crow
Donte Russel, Raticate, horse
Ms. Meryl Mohr, Electrode, swan
Ian Mertz I, Pinsir, sardine
Gilbert Conroy, Seel, rat
Dewitt Heidenreich, Flareon, rat
Emile Abbott, Exeggutor, snake
Johnna Wiegand, Sandslash, ant
Abe Lubowitz, Magneton, tortoise
Talitha Denesik, Haunter, ferret
Mr. Rodrick Breitenberg, Dewgong, ox
Casey Ankunding, Machop, camel
Ms. Lakia Kreiger, Pidgeotto, wildebeest
Elvis Rutherford, Pidgeot, seal
Oswaldo Jacobs, Butterfree, macaw
Amparo Barton, Primeape, whale
Arthur Runolfsdottir, Victreebel, cat
Elmira Hudson, Paras, cat
Arlen Connelly, Gloom, otter
Ramon Rohan, Weedle, mallard
Jonah Veum, Exeggcute, raccoon
Keith Sawayn, Kabutops, bee
August Armstrong MD, Flareon, oyster
Claude Mosciski, Gloom, sea lion
Dr. Chrystal Borer, Clefairy, mallard
Alton Lakin, Poliwag, wasp
Ismael Jakubowski, Porygon, hare
Cinda Maggio, Bulbasaur, impala
Marcel Hilll, Slowpoke, goldfish
Elisha Pfeffer, Ninetales, woodchuck
Rosaline Schowalter, Kingler, mallard
Xavier Brekke, Articuno, locust
Darci Treutel, Gyarados, lion
Thaddeus Stroman, Hypno, cattle
Shizuko Welch, Tauros, cricket
Catheryn Bruen I, Golduck, swan
Abdul Zieme, Clefable, macaw
Maudie Murray, Psyduck, trout
Laureen McKenzie, Dewgong, serval
Annamae Hudson, Mankey, mule
Carlene Frami, Grimer, giraffe
Georgianna Runolfsson, Mewtwo, rabbit
Katheryn Pagac I, Golbat, mink
Lacy Bogisich DDS, Scyther, raven
Adalberto Hermann, Farfetch'd, oyster
Abraham Streich, Nidoran, grasshopper
Roosevelt McKenzie, Fearow, pig
Francina Ferry, Gengar, reindeer
Marquerite Hoeger, Golem, termite
