Carlota Ankunding, Gloom, wasp
Lannie Lueilwitz PhD, Rattata, manatee
Danilo Runolfsdottir, Zubat, leopard
Dr. Gene Dicki, Poliwag, wasp
Earlene West, Koffing, hyena
Sindy Romaguera, Chansey, hedgehog
Blaine Buckridge, Poliwrath, otter
Luci Smitham Jr., Diglett, duck
Joshua Grimes DVM, Farfetch'd, lizard
Val Hettinger, Mewtwo, lizard
Flora Renner, Clefairy, hippopotamus
Lou Price, Venusaur, rhinoceros
Garry Kulas, Beedrill, armadillo
Krystin Olson, Dugtrio, dolphin
Emerita Berge, Bulbasaur, alpaca
Eulalia Beier, Arbok, wasp
Eduardo Tremblay III, Seel, reindeer
Jacinto Kunde, Arbok, porcupine
Augustine Parisian IV, Exeggcute, toad
Claud Botsford, Slowpoke, raven
Cortez Predovic, Pidgeot, shark
Oscar Cruickshank, Magikarp, monkey
Roberto Rosenbaum, Slowpoke, hornet
Sabra Zieme, Hypno, squirrel
Katlyn Huel MD, Magikarp, chinchilla
Mrs. Lena Bogisich, Onix, mosquito
Alfonzo Grimes, Spearow, leopard
Myles Dicki, Oddish, jellyfish
Toby Cummings PhD, Psyduck, cattle
Lucas Tremblay, Graveler, mosquito
Miss Ashlea Spencer, Charmander, cheetah
Milissa Beatty, Staryu, beaver
Ozell Runolfsdottir, Ditto, hare
Oliver Hackett, Onix, sheep
Mica Macejkovic, Venomoth, louse
Mrs. Selma Veum, Machamp, marten
Mr. Angella Reichel, Clefable, clam
Miss Parker Abbott, Wartortle, skunk
Herb Gusikowski, Poliwrath, rhinoceros
Minnie Hettinger, Slowbro, otter
Audrea Wuckert, Vaporeon, platypus
Jaymie Wiza, Kabutops, pig
Mr. Juan Schiller, Tangela, chimpanzee
Sunday Medhurst, Rapidash, otter
Yahaira Lockman V, Machop, sea lion
Dr. Seth Herzog, Primeape, badger
Venetta Bailey, Growlithe, horse
Reid Haag II, Eevee, hare
Nicholas Anderson, Starmie, buffalo
Jeff Robel, Grimer, elk
