Winfred Nader, Clefable, bat
Rosetta Bailey, Haunter, mouse
Alfred Corkery, Geodude, moose
Garry Hyatt, Clefable, hyena
Johana Predovic, Caterpie, wombat
Cassie Harvey, Cloyster, scorpion
Arnoldo Kuhlman, Squirtle, bear
Bryan Gleason, Pidgeot, yellowjacket
Russ Parker, Meowth, yellowjacket
Millard Halvorson, Graveler, yak
Kortney Sauer, Eevee, cricket
Cher Tromp PhD, Nidoqueen, frog
Perry Stehr, Nidorina, pug
Lynn Bergnaum, Nidoran, hippopotamus
Chrissy Stamm, Abra, platypus
Karena Ritchie PhD, Meowth, sardine
Ms. Erasmo Harvey, Primeape, ant
Margret Hyatt, Persian, pug
Meryl Hand, Exeggcute, alligator
Stacey Will IV, Electrode, snail
Reid Cassin MD, Charmeleon, snail
Prudence Bogan, Squirtle, platypus
Celsa Ledner, Hitmonchan, swan
Teddy Cummerata, Drowzee, dinosaur
Rheba Stroman, Nidoran, impala
Joanie Larson, Pidgey, locust
Ms. Delorse Marks, Abra, wolf
Ms. Elton Lemke, Sandslash, mouse
Mr. Cole Koss, Porygon, mallard
Adell Bartell, Eevee, locust
Elijah Dare DDS, Hitmonlee, whale
Dr. Roberta Beier, Sandslash, moose
Howard Bahringer III, Ponyta, crocodile
Dean Metz, Flareon, hamster
Kerry Huel, Gastly, dog
Olympia Wintheiser, Vaporeon, caribou
Terry Schuster, Charmeleon, llama
Ms. Audra Blanda, Lickitung, hare
Mrs. Leo Roberts, Magnemite, raccoon
Paris Kshlerin, Arcanine, swan
Forrest Reichel, Ninetales, mosquito
Eddie Kertzmann, Diglett, alligator
Mrs. Vonda Orn, Mewtwo, coyote
Ms. Tamiko Rippin, Beedrill, crab
Lulu Ruecker, Horsea, swan
Rafael Walker, Nidorino, marten
Owen Kulas, Gloom, toad
Flossie Greenholt, Rattata, turtle 
Dr. Devon Jacobson, Magnemite, frog
Mrs. Juliane Stroman, Nidoqueen, eel
