Wilmer Beahan, Zubat, goose
Kathe Ullrich, Rhyhorn, lizard
Mrs. Jorge Hilll, Shellder, jackal
Treva Littel, Metapod, mouse
Katheryn Hauck PhD, Pinsir, cricket
Benito Hickle, Pidgey, giraffe
Eliseo Gerlach, Sandshrew, dog
Priscilla O'Keefe, Raichu, mammoth
Buford Carroll, Scyther, cockroach
Jackson Wuckert, Staryu, eel
Dona Predovic, Vaporeon, woodchuck
Renee Koelpin I, Nidoqueen, beaver
Mr. Curtis Abbott, Cloyster, rat
Adolph Corkery DDS, Graveler, guinea pig
Dena Feeney, Dodrio, gnat
Bernard Halvorson, Growlithe, pug
Milagro Hessel II, Nidorina, caribou
Ms. Kandace Schumm, Electrode, jackal
Yuko Morar, Gengar, platypus
Melonie Schaefer, Magneton, pug
Richard Dare V, Koffing, yellowjacket
Frances Borer IV, Golduck, jackal
Earle Boyle, Charizard, donkey
Betsy Fay, Machoke, yellowjacket
Shannon Ruecker Sr., Ekans, porcupine
Mr. Johnie Mante, Drowzee, turtle 
Pete Mante IV, Snorlax, hound
Jon Predovic, Lapras, ant
Carri Grimes, Machop, hare
Samual Leannon, Metapod, cattle
Dr. Matilde Block, Cubone, shark
Olen Emard, Grimer, scorpion
Yasmin Stroman, Starmie, sea lion
Charley Trantow, Ekans, ape
Mr. Emilio Parker, Slowbro, dinosaur
Bo Steuber, Farfetch'd, chimpanzee
Wally Dietrich, Flareon, coyote
Esteban Hilll, Kabutops, termite
Beatriz Conn, Arbok, spider
Landon Parisian, Zapdos, clam
Lianne Smitham, Kabuto, locust
Ciara Larkin, Weedle, leopard
Arlen Kiehn, Machoke, leopard
Jose Dicki, Doduo, chimpanzee
Kandi Ernser, Muk, worm
Morton Hilpert IV, Gyarados, gnu
Jayson Runte V, Vaporeon, butterfly
Dalene Watsica, Golem, eagle
Doretha Stokes, Starmie, dog
Mr. Thad Wolff, Chansey, cricket
