Lydia Miller, Dodrio, panda
Kam O'Keefe, Omanyte, cheetah
Dr. Elina Cronin, Tauros, snail
Mr. Damaris Sanford, Poliwrath, lion
Ms. Kevin Hayes, Nidoran, bat
Wanita Wilderman, Dugtrio, camel
Evalyn Hand, Gyarados, pig
Ashleigh Terry, Exeggcute, mammoth
Jeremiah Metz, Golduck, sheep
Doloris Okuneva, Lickitung, wolf
Ms. Lera Tremblay, Mr. Mime, oyster
Tanya Keeling I, Seaking, duck
Alanna Jones, Krabby, yellowjacket
Bernard Schuppe PhD, Wigglytuff, muskrat
Wilford Mann DVM, Psyduck, mink
Miss Ian Connelly, Pidgeotto, mouse
Josh D'Amore, Weezing, gnu
Lucia Dibbert, Golbat, beetle
Ernesto Botsford, Dragonair, alligator
Garry Beahan, Kadabra, cod
Joseph Moore, Rhydon, dinosaur
Bernie Walker, Charmeleon, sea lion
Marinda Carroll, Koffing, mouse
Miss Trenton Parisian, Slowbro, fox
Harold Wehner, Eevee, hyena
Wilbert Ratke, Butterfree, hornet
Shawanda Lesch IV, Kakuna, elk
Mathew Upton III, Staryu, gnat
Ying Block, Poliwhirl, hound
Deshawn Koepp DVM, Jolteon, monkey
Henrietta Moore, Haunter, mosquito
Mrs. Chase Toy, Golbat, bat
Zona Haag, Pikachu, ox
Adrian Streich Jr., Persian, elephant
Charlsie Jerde, Bellsprout, panda
Hyman Zulauf, Dugtrio, grasshopper
Miss Rodolfo McLaughlin, Scyther, hare
Kory Baumbach IV, Flareon, hippopotamus
Neville Zulauf, Poliwhirl, eel
Bethanie Reilly MD, Charmander, deer
Gary Little, Jynx, wallaby
Arica Marquardt, Exeggcute, swan
Shasta Kiehn, Primeape, chinchilla
Mr. Alden Zieme, Persian, clam
Aurea Bergstrom, Voltorb, turtle 
Mr. Arthur Borer, Persian, hyena
Tiffiny Hyatt, Ponyta, hamster
Josef Corkery Sr., Primeape, bat
Deangelo Lakin, Slowpoke, alligator
Tonya Kautzer PhD, Abra, shark
