Ken Murazik, Moltres, beetle
Vicky Schmeler, Jynx, mouse
Herlinda Waters II, Ponyta, rat
Parker Quitzon, Flareon, mosquito
Barry Mitchell, Weezing, horse
Gene Hackett, Machamp, giraffe
Angelia Bosco, Poliwhirl, cattle
Oliver Hackett, Oddish, herring
Omer Crona, Nidoran, cheetah
Tomas Rolfson, Seel, chinchilla
Sal Will, Ekans, caribou
Harley Nienow PhD, Bulbasaur, horse
Wilbur Little Jr., Nidorina, beaver
Pat Fritsch, Pinsir, tiger
Kermit Robel V, Voltorb, yellowjacket
King Grant, Rhyhorn, leopard
Normand Jaskolski, Nidoqueen, bat
Leanora Larkin, Pinsir, pig
Mona Conn, Goldeen, elk
Imogene Hickle Sr., Mankey, goldfish
Ivana Langworth, Gengar, llama
Lynwood Gleichner, Graveler, gnat
Virgil McClure III, Goldeen, ant
Frances Schamberger III, Charmeleon, alpaca
Maye Blanda, Machop, camel
Tyron Becker, Vileplume, monkey
Riva Beier, Beedrill, worm
Johnny Daugherty, Gastly, jellyfish
Marcy Ortiz MD, Magmar, horse
Buddy Gutkowski, Omanyte, bear
Malcolm Kihn, Alakazam, scorpion
Dannie Welch, Dragonite, sardine
Irmgard Wilkinson, Gastly, ox
Birgit Hartmann, Zubat, camel
Derrick Auer, Seaking, beetle
Alonso Purdy, Pinsir, lion
Cordia Legros, Onix, bee
Margaretta Boyle, Mewtwo, crab
Collin Goldner, Bulbasaur, caribou
Ms. Gia Carter, Dratini, impala
Miss Woodrow Littel, Tauros, dog
Winford Cronin, Wigglytuff, alligator
Helga Little, Kadabra, muskrat
Ms. Davis O'Hara, Primeape, shark
Rocky Lubowitz, Pikachu, ape
Dr. Rhett Barton, Porygon, mink
Dr. John Bernhard, Magnemite, llama
Miss Julius Legros, Hypno, elephant
Elouise Abshire, Weedle, louse
Miss Floyd Cormier, Kakuna, beaver
