Cherri Tillman, Hitmonchan, shark
Rolland Mann, Pidgeot, bat
Gerald Hackett, Mr. Mime, toad
Zack Haag, Poliwhirl, jellyfish
Nathan Haley I, Cubone, caribou
Bruce Quitzon Sr., Pidgeot, hedgehog
Jefferson Franecki, Snorlax, wombat
Mr. Remedios Bergnaum, Victreebel, hare
Trent Bergnaum I, Hitmonchan, herring
Darell Reynolds, Omastar, rat
Akiko Monahan, Pidgeot, tortoise
Gaylord Jakubowski, Pidgey, bee
Carmelia Botsford, Paras, cattle
Naomi Schoen, Growlithe, gnat
Charlette Padberg V, Kabutops, bee
Johnny Sauer, Golduck, bat
Miss Aron West, Exeggutor, armadillo
Glen Padberg, Persian, hamster
Stanley Cremin, Articuno, swan
Lawrence Connelly, Hitmonchan, rat
Rene Fritsch, Kakuna, wildebeest
Alfred Keebler, Grimer, crab
Mrs. Mirna Ullrich, Dragonair, coyote
Wm Waelchi, Ekans, bee
Mr. Matilda Kunze, Ninetales, dinosaur
Charlott Corkery, Gengar, worm
Dr. Renato Bergstrom, Ekans, fly
Kimbery O'Connell, Magmar, gnu
Jeanett Trantow, Golduck, wallaby
Lamont Waters Sr., Geodude, louse
Latoya Walter MD, Nidoqueen, tiger
Waylon Douglas, Weepinbell, frog
Tyrell Ondricka, Venonat, termite
Kirby Padberg, Gengar, reindeer
Terese Maggio, Charmander, beetle
Merna Pfeffer, Graveler, mosquito
Tressie Abernathy, Nidoran, grasshopper
Jefferey Christiansen, Meowth, mouse
Mr. Jerold Ernser, Hitmonlee, otter
Kandy Johns, Golduck, mammoth
Rutha Greenfelder, Drowzee, fish
Doreatha Schoen, Flareon, fox
Harland Kshlerin III, Victreebel, hippopotamus
Leonora Spinka, Diglett, oyster
Ms. Leif Denesik, Nidoqueen, bear
Sal Lehner, Victreebel, bat
Sharyn Lang, Alakazam, sardine
Jacklyn Weber I, Jolteon, yellowjacket
Mr. Antwan Vandervort, Golbat, fox
Brock Hartmann, Horsea, wombat
