Ms. Stefania Bailey, Starmie, bat
Simon Cartwright, Charmeleon, alligator
Norberto Heidenreich, Pinsir, wildebeest
Damon Lueilwitz, Ninetales, serval
Hulda Predovic, Kabutops, frog
Mr. Homer Pacocha, Rapidash, mouse
Dr. Jefferey Smitham, Mankey, walrus
Myung Bernier II, Parasect, cheetah
Patrick Johnson I, Machop, porpoise
Connie Friesen, Wigglytuff, yellowjacket
Heriberto Buckridge, Drowzee, rabbit
Trinidad Robel, Poliwhirl, frog
Miss Wiley Schaefer, Electabuzz, rhinoceros
Geraldo Bradtke, Dodrio, moose
Florencio Bogisich, Voltorb, cicada
Laurice Sporer V, Mew, llama
Man Huel, Charmander, louse
Harry Lehner, Ninetales, hare
Tammy Ruecker, Pikachu, cattle
Rickie Wisozk, Flareon, ape
Carlos Abernathy, Alakazam, gnat
Hermelinda Johnston III, Poliwrath, pig
Neil Volkman, Pinsir, cockroach
Raymon Nitzsche DDS, Raichu, oyster
Delpha Hudson IV, Zapdos, zebra
Gordon Pfannerstill, Blastoise, pug
Elliott Rolfson MD, Parasect, gerbil
Rigoberto Johnston, Farfetch'd, kangaroo
Neva Hoeger, Mr. Mime, sardine
Felton Rath, Zubat, eel
Williams Hyatt III, Snorlax, camel
Selene Jacobs, Kabutops, bear
Ralph Jacobi, Lickitung, manatee
Mazie Ortiz, Omanyte, bee
Chance Metz, Magikarp, ferret
Darnell Bode, Weezing, ape
Analisa Turner, Nidorino, hare
Paulita Will, Zapdos, weasel
Derick Kuhic, Raichu, camel
Antonia Hegmann, Moltres, giraffe
Tera Halvorson, Growlithe, camel
Mr. Bethany Hauck, Rhyhorn, ferret
Julian Mraz III, Alakazam, yellowjacket
Charissa Schultz, Ekans, llama
Dorian McGlynn IV, Ivysaur, snail
Angla Kerluke, Clefairy, jackal
Marla Ratke, Venusaur, jellyfish
Francene Kuhn, Rhydon, porpoise
Danyel Ondricka PhD, Rhydon, serval
Dr. Milton Larson, Poliwag, yellowjacket
