Jacques Cruickshank, Pidgeotto, mink
Miss Shelby Lehner, Electabuzz, ape
Holley Dooley, Ekans, horse
Tommye Gerlach, Mankey, walrus
Velia Krajcik, Machamp, macaw
Krystal Kling, Dragonite, monkey
Arden Abbott, Victreebel, bat
Melodee Satterfield, Diglett, hare
Miss Melba Lind, Squirtle, wolf
Armida Nikolaus, Clefable, raven
Dr. Belkis Schmitt, Porygon, duck
Rolland Beer, Horsea, pug
Alfonzo Brakus, Wigglytuff, cheetah
Michel Wintheiser, Beedrill, serval
Miss Marla Satterfield, Golbat, clam
Santo Toy, Nidoking, armadillo
Theron Murphy, Diglett, fox
Federico Nienow, Tentacool, tiger
Deon Kozey, Psyduck, wildebeest
Dewey Hackett, Onix, wildebeest
Jim Raynor, Geodude, wombat
Fredrick Nitzsche, Butterfree, cattle
Iraida Bernhard, Venusaur, coyote
Nicolette Donnelly IV, Jynx, butterfly
Verlie D'Amore, Pidgey, spider
Mrs. Latoya Ryan, Venonat, bat
Jacqueline Zulauf, Onix, spider
Cami Ward Sr., Graveler, cockroach
Lonny Turcotte, Weepinbell, hornet
Julianna Kuphal, Starmie, alpaca
Beatriz Rath, Oddish, dinosaur
Mrs. Dallas Streich, Bulbasaur, deer
Clair Zemlak, Golem, cricket
Miss Malcolm Davis, Venonat, ox
Dr. Cary Okuneva, Goldeen, ant
Kelle Steuber, Koffing, cricket
Rachele Koch, Clefairy, zebra
Darla Koepp I, Poliwag, crab
Amberly Friesen, Weedle, jackal
Iliana Mueller III, Voltorb, manatee
Luigi Kreiger MD, Magikarp, prairie dog
Valarie Gutmann, Dragonair, snake
Leif Wyman, Mewtwo, caribou
Lydia Fisher, Exeggcute, buffalo
Ilene Murazik, Primeape, cheetah
Verdell Breitenberg, Goldeen, grasshopper
Rex Davis, Hypno, whale
Latricia Treutel, Venusaur, badger
Pat Barrows PhD, Staryu, wolf
Richard Hegmann, Alakazam, badger
