Dan Carter, Nidoran, macaw
Darnell Wehner, Kabutops, monkey
Zachary Roob, Vileplume, crocodile
Christoper Mohr, Aerodactyl, reindeer
Desire Rath, Arbok, sheep
Ezequiel Nienow, Golbat, pug
Aurelio Weissnat, Bulbasaur, jackal
Leonel Weber Sr., Grimer, cod
Otha Lindgren, Eevee, manatee
Simona Dicki, Zapdos, cattle
Theresa Hills I, Sandshrew, raven
Harland Torp Jr., Hypno, platypus
Harriett Kunde Sr., Horsea, snake
Earnest Friesen, Tentacruel, reindeer
Ms. Adriene Wuckert, Ditto, lion
Sherron Johnston, Psyduck, turtle 
Dr. Claris Wintheiser, Electrode, otter
Jonie Wolff I, Blastoise, impala
Echo Jacobs, Fearow, goat
Trudie Koepp, Sandshrew, bee
Raphael Legros, Abra, weasel
Lesa Hamill, Poliwrath, kangaroo
Arturo Weissnat, Clefairy, prairie dog
Rachele Stiedemann, Charmander, marten
Dr. Gabriela Mann, Porygon, serval
Mrs. Melita Kuhic, Machamp, kangaroo
Cherelle Anderson, Caterpie, platypus
Clara Torp, Cubone, hound
Winford Raynor DDS, Growlithe, scorpion
Dr. Chung Feeney, Grimer, worm
Wilbur Orn, Cubone, bat
Fredia Paucek DVM, Jigglypuff, giraffe
Mr. Cythia McKenzie, Eevee, lizard
Gary Rath, Aerodactyl, trout
Crista Erdman, Poliwag, baboon
Mervin Baumbach, Ditto, porpoise
Mrs. Ninfa Erdman, Omanyte, fish
Selma Schulist, Arbok, cricket
Heriberto Predovic, Seaking, locust
Dusty Hoppe, Farfetch'd, zebra
Scott Ullrich, Mr. Mime, beetle
Horace Kuvalis II, Exeggcute, lizard
Sammy Wisozk, Abra, yak
Mike Schumm, Dratini, mole
Dr. Clark Prosacco, Lickitung, coyote
Tommye Schmidt, Metapod, lion
Harry Jaskolski, Dragonite, louse
Tim Goyette, Butterfree, prairie dog
Miss Jacelyn Fisher, Seel, marten
Paris Ferry, Ekans, lion
