Noriko Koss, Sandshrew, bear
Humberto Hessel, Sandshrew, macaw
Olimpia Ledner Jr., Machop, moose
Charis Schmitt, Moltres, gnat
Samuel Williamson, Vileplume, porcupine
Kellye Schuppe, Golbat, donkey
Shenita Cruickshank I, Squirtle, duck
Gilbert Harris IV, Golduck, camel
Lila Buckridge, Porygon, ferret
Myrtis Robel, Arbok, mouse
Rosalia Lebsack Sr., Nidoran, jellyfish
Lovie Mertz, Venomoth, hornet
Fred Dare III, Tangela, minnow
Marica Cruickshank, Flareon, llama
Olin Carter, Drowzee, lizard
Anderson Koss III, Rattata, fish
Guillermo Anderson, Vulpix, mosquito
Miss Linnea Paucek, Mewtwo, eel
Carroll McClure, Kabuto, raven
Casandra Roberts, Nidoran, hare
Ossie Blick, Pidgeot, raven
Ines O'Conner, Dratini, porpoise
Aubrey Fadel, Beedrill, cheetah
Mammie Buckridge, Kingler, otter
Evelia Dooley DVM, Zubat, jellyfish
Darrin Weimann, Rapidash, mammoth
Priscila Buckridge, Primeape, chinchilla
Shanon Marquardt, Paras, wildebeest
Nathan Leffler, Exeggcute, crab
Sean Funk MD, Krabby, wasp
Ji Lakin, Arbok, mole
Victor Hermann, Omastar, hound
Corrina Rodriguez, Kingler, wallaby
Kaitlyn Wiegand, Blastoise, cod
Wes Haag, Exeggutor, herring
Mr. Walton Terry, Jolteon, squirrel
Dr. Becki Goodwin, Kabuto, butterfly
Raven Hartmann, Nidoran, fox
Dr. Miquel Wisozk, Slowbro, jellyfish
Stephany Kautzer, Wigglytuff, deer
Boyce Ebert, Psyduck, koala
Mitzie Willms, Zapdos, clam
Mr. Ronnie Terry, Fearow, toad
Mario Carroll, Shellder, porcupine
Verlene Dickens, Alakazam, clam
Buddy Dare, Exeggcute, cricket
Dr. David Huel, Tauros, mole
Hettie Lesch, Marowak, serval
Arnulfo Will, Golbat, scorpion
Kyle Cassin, Nidoqueen, rat
