Abraham Schneider, Kabuto, seal
Mrs. Jasmine Kihn, Venomoth, gnu
Claudie Lueilwitz, Fearow, porpoise
Elane Oberbrunner, Hitmonchan, kangaroo
David Yost, Caterpie, pug
Voncile Hahn, Venomoth, yak
Merrilee Corkery, Seel, ant
Josette Kuvalis, Charmeleon, camel
Lesli Davis, Gloom, oyster
Ellen Abernathy, Golbat, mammoth
Gustavo Marquardt, Seaking, marten
Ben Halvorson, Dragonair, lizard
Mrs. Palmer Breitenberg, Zapdos, moose
Mrs. Roderick McKenzie, Nidorino, koala
Audria Weber, Arbok, butterfly
Bridgette Stiedemann, Geodude, worm
Neville Rosenbaum, Goldeen, herring
Anneliese Wolf, Machamp, locust
Dorsey Schneider, Hypno, toad
Tiffani King, Jolteon, guinea pig
Mrs. Walker Cruickshank, Butterfree, cricket
Luther Kovacek, Tangela, porcupine
Nathalie Botsford, Chansey, hippopotamus
Krishna Denesik, Electabuzz, snail
Malisa Ratke, Nidoran, dolphin
Dennis Berge, Eevee, alligator
Matilde Larkin, Golduck, raccoon
Miss Mathew Schmitt, Bellsprout, macaw
Mr. Marianela Rice, Rhydon, jellyfish
Dr. Magali Leuschke, Pikachu, armadillo
Margene Kunze, Growlithe, raccoon
Corrie Huel, Doduo, cod
Calvin Blick, Scyther, fox
Codi Will, Tentacruel, prairie dog
Cristine Kautzer, Slowpoke, porpoise
Emanuel Nolan, Snorlax, toad
Ms. Morris Ullrich, Kingler, giraffe
Gordon Stokes II, Haunter, grasshopper
Man Pollich DDS, Abra, hound
Shaun Champlin, Seel, porcupine
Shaun Doyle, Omastar, armadillo
Tommie D'Amore, Koffing, beaver
Sammy Koss, Seel, beaver
Alexia Bartell, Growlithe, goose
Reed Gleichner, Victreebel, butterfly
Mr. Heath Runolfsson, Pidgeot, cicada
Trenton Lemke, Mr. Mime, ox
Romeo Pfeffer, Kingler, termite
Francina Crist Sr., Kabutops, tiger
Mrs. Perry Aufderhar, Kabutops, hyena
