Lizzie Abshire I, Gastly, otter
Willy Bauch, Zapdos, squirrel
George Effertz, Beedrill, louse
Carlo Russel, Pidgeot, wombat
Dr. Kurt Gusikowski, Hitmonchan, gnu
Staci Pagac, Omanyte, eagle
Estella Welch, Meowth, bee
Allan Schoen, Bellsprout, shark
Whitley Hermiston, Gyarados, lizard
Miss Billy Rempel, Jolteon, rhinoceros
Shirley Buckridge I, Horsea, snake
Lola Koss, Hitmonlee, pig
Elfrieda Paucek, Cubone, lizard
Mrs. Tiesha Ryan, Hitmonchan, manatee
Robbin Collins, Wartortle, louse
Kyoko Botsford, Exeggcute, buffalo
Connie Lemke, Doduo, prairie dog
Ismael Hills, Magneton, spider
Verlie Witting, Wigglytuff, deer
Dee Ryan, Seel, muskrat
Dr. Arlen Dickinson, Omanyte, manatee
Brock Crooks, Aerodactyl, salmon
Fredric Hessel I, Seaking, cat
Johnathan Green, Sandslash, dog
Claribel Abshire, Seadra, porcupine
Shakira Schowalter, Growlithe, gorilla
Albertha Becker, Gyarados, wildebeest
Arlene Heaney III, Nidorina, tortoise
Terrence Schuppe IV, Lickitung, koala
Mel O'Connell, Rattata, koala
Odilia Bailey V, Mankey, dolphin
Sterling Simonis I, Hitmonchan, swan
Anjanette Kshlerin, Magnemite, donkey
Alida Auer MD, Pikachu, crocodile
Magdalena Bednar, Kangaskhan, macaw
Humberto Koepp, Nidorina, serval
Sylvester Dickinson, Fearow, frog
Carisa Jaskolski, Tangela, woodchuck
Myrna Feest, Bulbasaur, koala
Dani Keebler, Magikarp, crow
Tabitha Orn, Vaporeon, termite
Mr. Dennis Hayes, Abra, platypus
Wm Yost IV, Pidgeot, cheetah
Bobby Vandervort, Kabutops, ox
Angelita Ratke III, Omastar, hamster
Modesto Gottlieb, Slowpoke, marten
Terrell Hodkiewicz, Gyarados, moose
Mackenzie Legros, Exeggutor, mouse
Andera Zieme, Machamp, badger
Roderick Schaefer III, Kakuna, cod
