Jolene Murazik, Gloom, cat
Beverley Lehner, Venusaur, wasp
Mrs. Jackson Senger, Magmar, marten
Zena Lakin, Seadra, fox
Stephan Mante, Oddish, yellowjacket
Dr. Darin Miller, Gyarados, eel
Rosa Hartmann, Nidorino, giraffe
Rodney Bashirian, Dragonair, hound
Harriett Crist, Koffing, raven
Judson Brakus, Mankey, weasel
Roosevelt Pollich, Venonat, raccoon
Ryann Simonis, Zubat, bear
Warren Ledner, Machoke, eel
Fermin Pouros, Dratini, horse
Russell Von, Ivysaur, gorilla
Freddy Hagenes, Dragonair, bee
Lizabeth Von, Venonat, bee
Andrea Russel, Magnemite, dog
Bradford Jenkins, Venonat, badger
Moshe Jerde, Venusaur, dog
Noelia Dickens V, Pinsir, rabbit
Bruce Jacobson, Zubat, eagle
Samual Botsford, Omanyte, elk
Rosalina Ryan IV, Farfetch'd, turtle 
Josh Ritchie, Nidoran, salmon
Wesley Mraz, Exeggutor, guinea pig
Cleo Steuber, Ekans, llama
Mr. Eden Tromp, Dragonite, turtle 
Horace Mraz, Graveler, ant
Ariel Gislason, Ditto, moose
Young Wintheiser Jr., Sandshrew, salmon
Warren Heller, Staryu, ox
Ms. Magdalena Dickens, Grimer, camel
Derrick Gutmann, Arbok, eagle
Etsuko Streich V, Drowzee, donkey
Miss Kip Will, Jynx, horse
Nettie Schamberger, Ninetales, sardine
Edra Breitenberg IV, Voltorb, turtle 
Carlo Crist, Primeape, platypus
Jeffry Armstrong Sr., Electabuzz, gorilla
Miss Lucien Rosenbaum, Voltorb, marten
Donnie Hackett, Tauros, caribou
Ms. Tim Grant, Aerodactyl, salmon
Cedrick Feeney Sr., Beedrill, camel
Miss Cris Nicolas, Lapras, alpaca
Bruno Bernhard I, Clefable, kangaroo
Leigh Lowe, Lickitung, cheetah
Miss Chris Rempel, Parasect, fox
Pat Halvorson V, Beedrill, snake
Natosha Abbott I, Nidoking, hamster
