Neta Koelpin, Ninetales, ape
Cassandra Lesch, Gengar, termite
Roberto Ruecker Sr., Rhydon, sheep
Silas Effertz, Clefable, frog
Colton Bauch, Venonat, turtle 
Kaleigh Larson, Muk, muskrat
Belinda Quigley, Bulbasaur, alpaca
Russ Turner, Golduck, skunk
Reinaldo Kuhn, Lapras, goose
Octavio Johnston, Geodude, reindeer
Cherelle Greenholt, Mr. Mime, cicada
Clifton Kiehn, Poliwhirl, jackal
Cassondra Rosenbaum, Farfetch'd, leopard
Gwyneth Smith, Rhydon, mole
Reanna Beahan MD, Nidoqueen, fly
Bill Moen III, Graveler, goldfish
Juan Lubowitz, Wigglytuff, squirrel
Ms. Burton Kihn, Pikachu, chinchilla
Eli Bergnaum, Nidorino, tiger
Miss Cherry Ullrich, Kangaskhan, water buffalo
Napoleon Kautzer, Clefable, ferret
Jim Yundt II, Gloom, mule
Arlyne Sawayn, Onix, spider
Abram Kulas, Omanyte, hare
Boyce Becker, Clefairy, yak
Leonardo Jones, Golduck, water buffalo
Lauri Hoppe, Raichu, yak
Mr. Maricruz Yost, Scyther, moose
Clare Stark, Wartortle, wasp
Ike Kunze, Dragonair, cod
Clifford Heathcote, Omanyte, worm
Shad Hauck IV, Diglett, marten
Lorina Tremblay, Hypno, guinea pig
Romelia Hickle, Goldeen, duck
Douglass Schumm, Kadabra, wasp
Miss Olen Predovic, Exeggcute, pig
Edward Stoltenberg, Victreebel, muskrat
Lyndsay Orn, Pidgeot, bear
Miss Annie Kuhic, Dragonair, raven
Jacqui Block, Gloom, hippopotamus
Miss Cameron Witting, Meowth, tiger
Rosetta Wuckert, Ditto, beetle
Malissa Bode, Wartortle, yak
Edris Considine DVM, Zapdos, crocodile
Billy Stoltenberg, Machamp, sea lion
Guy Abbott, Ditto, macaw
Sherilyn Lehner PhD, Squirtle, cockroach
Mitchell Ryan II, Magnemite, bear
Yun Miller, Cubone, eagle
Wilfred Rolfson Sr., Charizard, mule
