Rosalina Daniel IV, Dragonite, prairie dog
Harris Bode III, Seadra, wolf
Ling Wilkinson, Lickitung, beaver
Kaitlin Kuhlman, Zapdos, tortoise
Joan McDermott, Cubone, alligator
Alice Dicki, Ponyta, bear
Wilbur Kertzmann, Growlithe, hedgehog
Quintin Ullrich III, Zubat, termite
Robert Hilpert IV, Tentacruel, kangaroo
Bernita Hoeger DVM, Magikarp, cockroach
Jody Hartmann DDS, Dugtrio, locust
Fernando Stokes, Tentacruel, donkey
Joan Daugherty, Seel, wildebeest
Ms. Tilda Franecki, Raichu, woodchuck
Natalya Hammes, Exeggutor, woodchuck
Jeanmarie Goldner, Fearow, porcupine
Norberto Renner, Nidoking, ox
Gary Dare, Psyduck, fish
Breanne Schneider, Mew, eagle
Carrol Halvorson, Charmander, turtle 
Ben Hoeger, Mew, gnat
Bruno Dietrich DDS, Nidoran, macaw
Rodolfo Blanda, Nidoran, marten
Frederic Mitchell III, Chansey, cockroach
Kareem Nikolaus, Geodude, elephant
Miss Mikki Wunsch, Rattata, chinchilla
Dr. Jospeh Tremblay, Raticate, worm
Cecily Witting, Starmie, rhinoceros
Tiffiny Crooks, Dragonite, otter
Dexter Kuhic V, Chansey, walrus
Shante Weber, Pinsir, mink
Suzie Mills Sr., Tentacool, bear
Wilhemina Senger, Venusaur, herring
Allena Jacobson, Muk, wildebeest
Lovetta Kulas, Pidgeotto, gerbil
Chiquita Mills, Oddish, water buffalo
Waldo Ferry, Nidorino, frog
Antonio Smitham III, Golduck, butterfly
Tracy Pollich, Nidoran, oyster
Lucio Fisher, Shellder, porpoise
Belia Morissette, Pidgeotto, hamster
Earlene Dickinson, Magikarp, weasel
Humberto Sporer, Seel, platypus
Gayle Johns I, Victreebel, oyster
Elroy Harber Jr., Seaking, pig
Jonah Cartwright, Jolteon, mallard
Wilma Durgan I, Snorlax, marten
Jesse Hahn MD, Dewgong, dinosaur
Leah Willms, Hitmonlee, crab
Aurelio Doyle, Arcanine, cricket
