Mr. Chuck Schinner, Dewgong, dog
Rocky Erdman, Haunter, raven
Rima Heidenreich, Nidorino, crocodile
Micheal Bogisich, Wigglytuff, wolf
Lyda Durgan, Clefable, mink
Arnoldo Stroman Sr., Machop, mink
Lakeesha Kunde, Golbat, zebra
Janiece Heller, Rhydon, koala
Joseph Bogisich, Goldeen, guinea pig
Dr. Lekisha Dickens, Grimer, buffalo
Deneen Bins I, Caterpie, elephant
Olin Medhurst II, Onix, water buffalo
Pablo Hane, Seadra, lion
Brad Grimes, Dragonite, monkey
Miss Adele Streich, Haunter, trout
Gregory Swaniawski, Rattata, goat
Ola Koch I, Tentacruel, pig
Kurtis Sauer, Cubone, goat
Emilee Franecki, Gastly, whale
Lionel Walter, Diglett, cat
Dave Casper, Koffing, hornet
Luanna Runte, Aerodactyl, eagle
Billy Schowalter, Tangela, wolf
Herman Erdman, Weepinbell, jellyfish
Hans Stanton, Beedrill, wombat
Osvaldo Barrows, Vileplume, cockroach
Nicky Robel, Vulpix, hamster
Brant Schimmel MD, Muk, skunk
Arlen Schuppe, Weedle, hare
Ms. Joetta Ziemann, Vileplume, water buffalo
Jerrell Ratke, Graveler, coyote
Rea Renner, Golduck, mole
Dusty Stokes, Exeggutor, llama
Lise McDermott, Rhyhorn, camel
Jamal Kunze DVM, Nidoran, pig
Lili Hermiston, Ninetales, marten
Deadra Nienow, Hitmonchan, termite
Darnell Ritchie DVM, Geodude, dog
Lily Osinski, Slowbro, mammoth
Cherri O'Hara, Jigglypuff, monkey
Celena Johnson I, Ditto, llama
Ms. Theodore Steuber, Sandslash, alligator
Roselle Boyle, Alakazam, worm
Antionette O'Kon, Pidgeotto, beaver
Elisha Ryan, Articuno, porpoise
Arcelia Rogahn, Oddish, reindeer
Lou Von PhD, Charmeleon, minnow
Shad Kulas I, Electrode, cat
Corrina Nader Sr., Tentacool, panda
Sadie Kshlerin, Lapras, crow
