Ms. Millie O'Kon, Goldeen, rat
Tisha Hettinger, Primeape, gnat
Mitchell Kunde DVM, Victreebel, monkey
Miss Ward Vandervort, Butterfree, gnu
Foster Lemke, Kangaskhan, mouse
Shani Hamill, Arcanine, dinosaur
Sheryl Gislason Jr., Diglett, wallaby
Ms. Francesco Koepp, Slowpoke, sheep
Priscilla Mraz, Magnemite, rat
Dr. Donte Bernier, Muk, leopard
Myron Bergstrom Jr., Nidorino, mink
Myung Gottlieb, Magnemite, wasp
Dessie Kohler, Dugtrio, manatee
Eldon Koepp, Ivysaur, marten
Lawana Howe II, Cubone, koala
Stephaine Heathcote, Diglett, beaver
Catarina Kilback DDS, Jynx, duck
Mrs. Dominique Hansen, Ponyta, hornet
Miss Tova Bauch, Nidorino, seal
Mr. Royal Zboncak, Omanyte, camel
Toshiko Hegmann III, Snorlax, whale
Stefani Tillman, Ivysaur, goose
Keturah Farrell, Dugtrio, platypus
Timmy Ferry V, Hitmonlee, kangaroo
Octavio Hauck, Beedrill, butterfly
Yessenia Osinski, Voltorb, caribou
Dino Conroy, Tentacool, antelope
Ms. Sirena Wiegand, Nidorina, squirrel
Diana Jakubowski, Parasect, cricket
Alfredo Hyatt Jr., Haunter, impala
Alonso Anderson, Vaporeon, weasel
Ernesto Zemlak, Bulbasaur, armadillo
Sook McCullough, Metapod, giraffe
Shanita Runolfsdottir MD, Vileplume, bee
Tracy Prohaska, Shellder, hippopotamus
Toby Littel, Starmie, rabbit
Assunta Bauch, Graveler, moose
Lou Hessel, Nidoqueen, clam
Dr. Lamar Little, Paras, armadillo
Mrs. Waneta Bergstrom, Rattata, chimpanzee
Xavier Predovic, Kakuna, chinchilla
Windy Lind IV, Ivysaur, impala
Norris Hudson, Omanyte, ox
Shiela Stoltenberg, Alakazam, cicada
Miss Kimberley O'Hara, Lickitung, sheep
Alec D'Amore I, Parasect, chimpanzee
Nicholas Torphy, Hitmonlee, armadillo
Mrs. Lazaro Schimmel, Gengar, sea lion
Bruce Lowe Sr., Magnemite, leopard
Elliott Ritchie, Omanyte, termite
