Josphine King, Machamp, fish
Jarvis Lindgren, Abra, worm
Brooks McCullough, Mew, seal
Ms. Ingrid Ziemann, Haunter, hornet
Kacey Bartoletti II, Tauros, grasshopper
Dr. Emil Hermann, Nidoran, goose
Mr. Nelia Ondricka, Victreebel, cat
Micheline Homenick, Primeape, woodchuck
Mitch Langosh, Slowpoke, butterfly
Kasey Quitzon, Cubone, manatee
Ms. Shaun Hansen, Geodude, sheep
Seth Emmerich, Clefable, hamster
Matilda Goodwin, Mew, ape
Dr. Hilario Jakubowski, Dragonite, cricket
Lino Hansen, Gyarados, rhinoceros
Ms. Darwin Windler, Exeggutor, porcupine
Regena Kiehn, Tentacool, monkey
Omar Wintheiser, Nidoran, moose
Dr. Elijah Veum, Ditto, gnat
Mrs. Tomas Langworth, Kadabra, llama
Herb Smith, Graveler, elephant
Dovie Rempel, Golbat, gerbil
Christinia Cassin, Graveler, muskrat
William Jenkins, Muk, fox
Patrick Spencer, Doduo, herring
Keenan Waelchi, Exeggcute, marten
Miss Kevin Smitham, Goldeen, eel
Prudence Russel, Rhydon, yak
Mitchell Bogan, Farfetch'd, marten
Mr. Samual Dooley, Magikarp, mosquito
Rubi Wisoky, Moltres, termite
Mrs. Fidela Boyer, Staryu, butterfly
Morton Bosco, Ekans, platypus
Edgar Simonis, Grimer, mule
Donita Rau I, Pidgeot, worm
Janetta Schultz, Nidorino, eagle
Deangelo McCullough Jr., Caterpie, eel
Sanjuanita O'Hara, Diglett, alligator
Roland Hauck, Porygon, manatee
My White, Charmander, guinea pig
Eugenio Rau, Horsea, muskrat
Mr. Bernetta Ziemann, Electrode, pig
Faith Kautzer, Hitmonlee, beaver
Cherry Veum, Kakuna, llama
Grisel Bosco DVM, Ninetales, rat
Mr. Andria Cormier, Doduo, monkey
Scot Blanda, Oddish, fly
Wilmer Davis, Horsea, guinea pig
George Langosh, Nidoran, raccoon
Nicolasa Medhurst, Ponyta, turtle 
