Mrs. Jacques Prohaska, Arbok, porpoise
Chrissy O'Hara, Electabuzz, monkey
Denita Bode, Golduck, wombat
Carmela Williamson, Jynx, antelope
Mrs. Isiah Stracke, Hitmonlee, cicada
Orlando Blick, Pidgeot, wildebeest
Sharen Hudson, Goldeen, gerbil
Carl Wilkinson, Pidgeotto, monkey
Ms. Lahoma Goldner, Omanyte, hippopotamus
Velvet Heller, Rattata, pug
Josiah Moore, Machop, pug
Estella Cole, Mankey, rhinoceros
Mr. Bert Oberbrunner, Nidoqueen, chinchilla
Leigh Heathcote, Abra, ferret
Cornell Hahn, Jolteon, goat
Terry Dach, Spearow, armadillo
Miss Karl Hermann, Marowak, muskrat
Kenny Dickinson, Flareon, locust
Ivan Krajcik, Marowak, pig
Bryce Franecki, Arcanine, locust
Gregory Barton, Charizard, tiger
Ivory Bechtelar DDS, Rattata, walrus
Miss Maureen Kovacek, Jynx, mosquito
Eladia Ledner, Dodrio, serval
Ms. Marcelo Goodwin, Nidorina, butterfly
Toshia Morar, Gastly, walrus
Daryl Jacobson, Poliwrath, rat
Dorian Ward, Venomoth, locust
Josephina Braun, Ekans, goose
Kami Marks, Blastoise, pug
Dr. Jospeh Hickle, Alakazam, jellyfish
Randolph Mayer, Golem, spider
Mr. Lyndsay Kuhn, Shellder, camel
Columbus Keebler, Ditto, beaver
Logan Tillman, Kadabra, rabbit
Yukiko Douglas, Kabuto, oyster
Carlota Mraz, Weezing, wolf
Ms. Jaclyn Bergnaum, Horsea, toad
Benton Shanahan Jr., Machop, ape
Dr. Scarlet Wisozk, Dragonite, llama
Eloy Wiegand, Haunter, wildebeest
Lurlene Dietrich, Rhydon, mole
Deandre Kreiger II, Ditto, sardine
Elsa Lebsack DDS, Kingler, deer
Glenn Green, Dugtrio, whale
Christopher Borer III, Magikarp, ape
Philip Herman, Weepinbell, frog
Kristie White, Magmar, yak
Tommy Lebsack, Clefairy, shark
Ms. Klara Borer, Machamp, caribou
