Dirk Hessel, Rhyhorn, wombat
Haywood Bayer, Tentacruel, gorilla
Melda Jerde, Shellder, elephant
Gillian Lebsack, Jolteon, rhinoceros
Nathaniel Watsica, Alakazam, pig
Quentin Dietrich, Nidorino, wallaby
Marvis Pagac, Kingler, hyena
Dr. Merrie Hoppe, Magneton, skunk
Alec Turcotte, Moltres, marten
Miss Victorina Schmidt, Abra, clam
Damien Morissette, Ponyta, serval
Frances Ziemann, Kakuna, wildebeest
Princess Cremin, Rhydon, wildebeest
Dr. Renea Will, Machoke, hippopotamus
Milan Casper DDS, Tauros, cricket
Emerson Weimann, Hitmonlee, tortoise
Mr. Wendie Pagac, Weezing, tiger
Darrell Shields, Kakuna, ox
Nisha Gulgowski, Porygon, hyena
Miss Doretha Doyle, Zapdos, ant
Bennett Goldner, Ditto, hedgehog
Mrs. Odell Raynor, Growlithe, gnu
Julius Brakus, Pidgeotto, toad
Rosamaria Abshire, Clefable, lizard
Danial Harvey, Rhydon, manatee
Evelyne Hilll, Squirtle, reindeer
Arnoldo Koelpin, Alakazam, koala
Miss Ed Hodkiewicz, Butterfree, gnu
Kelle Dibbert, Dodrio, wolf
Virgil Doyle, Shellder, cat
Miss Lynsey Thompson, Voltorb, gnu
Josue Christiansen, Bulbasaur, walrus
Miss Melva Kerluke, Primeape, camel
Marty Hahn, Jynx, giraffe
Hwa Hansen III, Tangela, mink
Jamison Hauck, Raichu, dinosaur
Marcie Padberg, Vaporeon, squirrel
Dr. Everette Jenkins, Drowzee, mammoth
Ute Keeling DDS, Kabuto, mallard
Tiesha Greenfelder, Bellsprout, seal
Keneth Keebler, Flareon, spider
Rudolph Bartell, Dugtrio, deer
Melodie Okuneva, Machop, skunk
Margie Schinner, Hypno, pig
Wes Bernhard, Magneton, mosquito
Melodie Berge, Nidorina, porpoise
Isa Spencer, Seaking, goose
Jeanmarie Cruickshank, Spearow, scorpion
Lacy Medhurst II, Charmander, coyote
Calvin Bergstrom, Exeggutor, rabbit
