Phoebe Rowe, Lapras, donkey
Gonzalo Shields, Nidoking, serval
Gail Graham, Mr. Mime, cheetah
Yvone Kuhn IV, Poliwrath, cod
Yee Ritchie, Psyduck, prairie dog
Mrs. Janene Wisozk, Fearow, mallard
Kristofer Walker III, Clefable, mammoth
Tammy Mayert, Weepinbell, crocodile
Vivian Greenfelder, Pidgeotto, turtle 
Detra Fadel MD, Marowak, yak
Marybeth VonRueden, Articuno, llama
Gregory Gorczany, Vulpix, whale
Sonja West PhD, Jigglypuff, platypus
Mr. April Cartwright, Tentacruel, spider
Lewis Maggio, Exeggcute, pig
Alona Roob, Vulpix, gerbil
Hyun Okuneva, Lapras, guinea pig
Alexis Kautzer, Dewgong, otter
Elana Ondricka III, Articuno, mammoth
Loma Weber Sr., Wigglytuff, walrus
Mrs. Williams Lind, Chansey, macaw
Graham Haag, Hitmonlee, woodchuck
Mrs. Jean Hilll, Venomoth, worm
Mrs. Norberto Connelly, Dugtrio, otter
Estrella Morissette, Scyther, skunk
Dr. Kiersten Hansen, Cubone, gnu
Alvaro Schuster, Dugtrio, minnow
Mrs. Pearle Rosenbaum, Psyduck, frog
Cassey Rutherford, Growlithe, rabbit
Mrs. Cecille Pagac, Poliwag, dolphin
Soraya Walter, Caterpie, mammoth
Angel Anderson, Machop, eagle
Mrs. Marcelino Murray, Victreebel, muskrat
Markus McClure, Kingler, macaw
Lindsey Strosin, Rapidash, squirrel
Elna Mayer, Rapidash, caribou
Robt Jacobson, Drowzee, wildebeest
Greg Krajcik, Butterfree, cockroach
Zulema Satterfield, Kakuna, eel
Ms. Thomas Hamill, Metapod, locust
Jefferey Trantow, Starmie, butterfly
Olga Bergstrom, Beedrill, alligator
Tanna Kovacek, Ponyta, koala
Thanh Rohan, Starmie, eagle
Terri Hudson, Sandshrew, eagle
Liane Fay III, Magneton, badger
Marybelle Goldner, Ponyta, weasel
Marlene Balistreri, Rapidash, lizard
Thomas Bailey, Articuno, platypus
Leandro Treutel, Exeggutor, rat
