Jeniffer Paucek, Alakazam, mole
Miss Quintin Feest, Omanyte, sea lion
Ms. Coralee Heidenreich, Porygon, ox
Cyrus Runolfsson, Krabby, mouse
Dion Boyer DVM, Diglett, porcupine
Edmund McDermott, Omanyte, toad
Rosa Conroy, Pinsir, panda
Ms. Kellye Turcotte, Tentacool, rabbit
Wava Weimann, Mr. Mime, raccoon
Silvana Stark, Weedle, zebra
Aurore Wolf DVM, Lickitung, sea lion
Cyrstal Murray, Metapod, giraffe
Ms. Larue Wunsch, Farfetch'd, hornet
Osvaldo Gerhold, Seel, butterfly
Mr. Lizbeth McLaughlin, Psyduck, yak
Steve Fritsch, Rhyhorn, monkey
Andera Vandervort Sr., Pidgey, mallard
Clyde Christiansen, Victreebel, armadillo
Rickey Reichert, Rattata, goldfish
Alfredia Huel, Golbat, mink
Darrick Jacobson, Voltorb, goose
Valentin Veum Sr., Magmar, chimpanzee
Gene Fay, Clefable, butterfly
Donnie Pfannerstill, Rhydon, mole
Jill Leannon, Dragonite, yellowjacket
Earle Kris, Onix, fish
Ambrose Hahn PhD, Wartortle, macaw
Tyisha Pacocha, Kabuto, prairie dog
Rick Huels, Mr. Mime, toad
Mrs. Miles O'Reilly, Dragonair, mammoth
Glen Lesch, Gastly, lizard
Zonia Flatley, Kangaskhan, gnu
Allen Renner, Porygon, mosquito
Concetta Hagenes, Persian, sea lion
Sherley Haley, Graveler, frog
Iola Hamill DVM, Chansey, cod
Oralia Littel, Diglett, gnu
Darrick Boehm, Ninetales, buffalo
Matt Schmitt, Kingler, salmon
Dewitt Becker DDS, Hypno, impala
Shantae Simonis, Tauros, marten
Mrs. Emile Jerde, Venomoth, macaw
Irving Sporer, Alakazam, eagle
Mariella Kiehn V, Graveler, reindeer
Jason O'Connell, Drowzee, rabbit
Riley Moore, Primeape, goldfish
Cedric Hilpert, Beedrill, squirrel
Cori Stiedemann Sr., Cloyster, horse
Winnifred Shanahan PhD, Lickitung, marten
Mrs. Truman Mitchell, Poliwag, monkey
