Mr. Virgilio Nicolas, Venusaur, gnat
Grayce Mohr, Vaporeon, mosquito
Yon Trantow, Clefable, porcupine
Robin Farrell, Slowbro, alligator
Dr. Harrison Carroll, Koffing, fly
Jaime Powlowski, Staryu, wildebeest
Dani Emard, Arcanine, frog
Eusebio Ondricka, Shellder, woodchuck
Willy Connelly, Golduck, mole
Matt Marks, Poliwrath, serval
Dr. Ricardo Gerlach, Poliwhirl, toad
Jerome Harber II, Hypno, manatee
Elfreda Lowe, Diglett, donkey
Mrs. Cedrick Flatley, Bulbasaur, toad
Delmar Becker, Ditto, wasp
Dr. Meg Legros, Aerodactyl, alpaca
Kesha Brekke, Wigglytuff, rhinoceros
Wilson Williamson, Shellder, muskrat
Ms. Reyna Jacobson, Porygon, guinea pig
Elvis Lockman, Raticate, coyote
Donita Dicki DVM, Pidgeotto, badger
Golden Mueller, Weezing, koala
Jimmie Deckow, Eevee, jellyfish
Arnulfo Corkery, Squirtle, crow
Loida Cremin Sr., Nidoran, camel
Mrs. Max Becker, Alakazam, horse
Jimmie Lebsack, Venonat, elephant
Zachery Larkin, Alakazam, eel
Estrella Christiansen, Vulpix, raven
Shantelle Langworth II, Haunter, woodchuck
Brandi Rodriguez V, Psyduck, lizard
Matilda Block, Golduck, impala
Lashanda Kessler, Growlithe, chinchilla
Bennett Cummerata, Metapod, fly
Louis Roberts V, Doduo, woodchuck
Stefani Corwin, Dodrio, sheep
Muriel Sporer, Oddish, rabbit
Ms. Joe Cole, Persian, worm
Lucio Johnston, Vulpix, baboon
Hallie Shanahan, Arbok, turtle 
Modesto Beier, Dugtrio, salmon
Enoch Fay, Nidoqueen, termite
Bernie McDermott, Growlithe, giraffe
Mittie Ziemann, Victreebel, skunk
Santiago Metz, Pidgeotto, bear
Dr. Kasey Jakubowski, Geodude, duck
Ms. Johnathon Green, Victreebel, badger
Sulema Rohan, Metapod, crow
Kyle Ryan, Hitmonlee, rhinoceros
Emerald Abbott, Seaking, cicada
