Coralee Hermann, Articuno, gnu
Jaime Hettinger, Clefairy, pug
Edison Pfeffer, Hypno, alligator
Ms. Tracy Frami, Tangela, cod
Mr. Jeremiah Maggio, Jigglypuff, water buffalo
Treva Bailey, Pidgeotto, antelope
Miss Ebony Price, Tauros, marten
Heidy Maggio, Weezing, badger
Heidy Halvorson, Slowpoke, hornet
Sophie Ondricka, Gastly, squirrel
Ardella Konopelski, Dewgong, fox
Jordan Hickle, Weepinbell, snail
Leana Marquardt, Bellsprout, coyote
Shasta Beatty, Machoke, muskrat
Hedy Keeling, Moltres, raccoon
Mrs. Foster Herman, Mewtwo, llama
Tarah Schaefer, Ivysaur, herring
Debi Crist, Snorlax, eel
Judson Klein PhD, Articuno, cat
Voncile Feest MD, Pidgeotto, cockroach
Estella Kemmer, Kabutops, bat
Josephina Spencer IV, Kingler, reindeer
Jon Goodwin, Doduo, beaver
Ronald Schoen III, Weezing, beetle
Brenda Kirlin, Omastar, marten
Sol Nitzsche, Haunter, rhinoceros
Andera Pacocha, Scyther, jackal
Darren Predovic, Aerodactyl, whale
Delbert Hoppe, Electabuzz, fox
Clarice Lemke, Primeape, moose
Nadia Wilkinson, Psyduck, mammoth
Zoila Ondricka, Electrode, hyena
Thanh Wilderman, Pikachu, impala
Twila Erdman V, Gengar, goldfish
Tessie Jacobi, Golem, shark
Tennille Mueller, Gyarados, dinosaur
Miss Soledad Ratke, Slowpoke, moose
Joellen Abbott III, Nidoran, elephant
Dr. Scott Balistreri, Gastly, serval
Loyd Denesik, Krabby, sea lion
Ngan Hessel, Exeggcute, seal
Quentin Boyer, Pinsir, antelope
Jacquelin Ziemann, Dratini, ox
Mariana Ferry IV, Articuno, eagle
Vincenzo Huels, Beedrill, guinea pig
Ms. Wyatt Yundt, Exeggutor, dinosaur
Miss Rob Johnston, Mew, guinea pig
Rogelio Welch V, Grimer, locust
George Ankunding, Farfetch'd, hornet
Royal Hane, Doduo, turtle 
