Oscar Walker I, Parasect, worm
Raul Nicolas, Machop, guinea pig
Dr. Ingeborg Cormier, Fearow, leopard
Filomena Durgan, Ivysaur, goldfish
Craig Bailey, Eevee, yak
Latasha Robel, Poliwag, weasel
Loreen Bartoletti, Charizard, panda
Richie Strosin, Vulpix, toad
Bill Wilkinson, Growlithe, oyster
Tyrone Prosacco, Rattata, termite
Tomas Paucek, Rhyhorn, cat
Fredda Cartwright, Nidoking, hedgehog
Steve Huel, Magneton, wombat
Silva Funk, Victreebel, goldfish
Carmen Dooley, Venusaur, cicada
Miss Alexis Morissette, Poliwag, pig
Benedict Parisian, Zubat, jellyfish
Dr. Quinton Hamill, Dodrio, hare
Elene Leannon, Hitmonchan, fish
Maye Jones, Omastar, llama
Shelton Carroll, Pinsir, clam
Mr. Jamaal Block, Vileplume, gnu
Paul Waelchi PhD, Butterfree, turtle 
Jackie Pouros, Charmander, lion
Galen Schinner, Seaking, termite
Courtney Will, Golem, butterfly
Philip Rutherford I, Haunter, cat
Jim Stroman, Weedle, frog
Keven Watsica, Horsea, skunk
Janey Quitzon, Kangaskhan, goldfish
Darlena Nicolas, Hitmonchan, hedgehog
Nathan Herzog IV, Dodrio, monkey
Fernanda Monahan, Charizard, monkey
Aleshia Sauer, Geodude, rat
Sammy Rutherford, Mankey, mule
Loria McCullough, Exeggutor, bear
Mr. Ollie Kovacek, Kingler, beaver
Burl Moore, Dragonair, moose
Tamela Powlowski, Nidoqueen, shark
Mrs. Christinia Cummings, Rhydon, crow
Theo Carter, Graveler, mouse
Miss Luvenia Vandervort, Farfetch'd, fox
Alexa Jerde Jr., Arcanine, deer
Ayako Wisoky, Exeggutor, locust
Becki Kemmer, Sandslash, tortoise
Jody Purdy, Nidoqueen, hedgehog
Sherman Herman, Ekans, antelope
Mrs. Sid Raynor, Hypno, goldfish
Jeanette Kuphal, Electrode, minnow
Demetria D'Amore, Voltorb, yak
