Leann Feil, Venonat, bee
Jacquline Roob, Porygon, mink
Rueben Hegmann, Hitmonlee, reindeer
Jewel Nicolas, Kakuna, lizard
Myles Reinger, Drowzee, mink
Jonathon Lang, Mankey, manatee
Florencio Crona, Venusaur, mouse
Walton Swaniawski, Kangaskhan, rabbit
Jada Greenholt, Charmeleon, fly
Ok Anderson I, Jigglypuff, camel
Enedina Schmidt, Gastly, marten
Edmund Brakus, Electabuzz, termite
Mr. Moises Lang, Magmar, fox
Ozell Anderson PhD, Persian, eel
Rachal Wilkinson, Nidoqueen, fox
Darren Lesch Jr., Venusaur, alligator
Irma VonRueden, Tentacruel, caribou
Chester Dickinson, Nidorino, leopard
Norman Mueller, Rhyhorn, hamster
Mrs. Freida Nienow, Abra, impala
Miss Kent Grant, Exeggutor, cod
Irma Bruen, Pikachu, shark
Luciano Graham, Mankey, salmon
Dr. Louanne Jones, Nidoking, wildebeest
Miss Ernestina Gislason, Victreebel, bee
Alberto Kemmer DVM, Diglett, jellyfish
Gregorio Prohaska, Horsea, squirrel
Sade Stehr, Vaporeon, walrus
Lucinda Crooks IV, Bellsprout, caribou
Mrs. Antonio Hudson, Drowzee, zebra
Chet Schulist, Dewgong, guinea pig
Harold Dickinson, Bulbasaur, buffalo
Despina Stanton, Porygon, giraffe
Emmitt Johns IV, Metapod, horse
Alton Hagenes, Machop, gerbil
Herb Toy PhD, Marowak, buffalo
Jolanda Dickens Sr., Parasect, swan
Vania Franecki, Sandslash, fish
Antonio Ortiz I, Electabuzz, chimpanzee
Matt Bauch, Meowth, reindeer
Len Willms, Haunter, frog
Ligia Hackett, Psyduck, butterfly
Dr. Arcelia Leuschke, Squirtle, snail
Antwan Kirlin, Butterfree, raccoon
Ms. Portia Corwin, Dragonair, antelope
Myron Metz, Lapras, jellyfish
Dwain Cormier, Bulbasaur, squirrel
Dennis Smitham III, Seaking, cat
Lora Trantow, Magikarp, eagle
Numbers Murray, Magnemite, yellowjacket
