Richie Hansen, Electabuzz, hyena
Rocky Senger, Lickitung, mammoth
Crista Ankunding DDS, Wigglytuff, goldfish
Markus Abbott MD, Weedle, badger
Salley Greenholt, Beedrill, whale
Maxwell Walter, Gyarados, raven
Magaret Farrell MD, Diglett, prairie dog
Tommie Aufderhar, Farfetch'd, cat
Ms. Benton Hansen, Zapdos, oyster
Eugenio Sanford DDS, Horsea, elk
Ahmad Feest, Wigglytuff, platypus
Sidney Shields, Cloyster, rat
Mr. Jarrod Hansen, Goldeen, sheep
Madelene Abbott, Poliwhirl, guinea pig
Gregg Goyette, Rattata, worm
Kathe Keeling, Machop, cheetah
Diedra Champlin V, Bulbasaur, elk
Miss Andrea Witting, Electabuzz, fish
Darcey Farrell, Pidgeot, koala
Iliana Ondricka V, Scyther, bear
Owen Morissette, Spearow, trout
Abel Crona, Golduck, pug
Bula Lockman, Sandslash, ape
Denny Satterfield, Kakuna, bat
Lavonia Kihn, Spearow, ant
Natosha Baumbach, Goldeen, pug
Dr. Octavio Bergstrom, Kadabra, squirrel
Marcia Wolf, Caterpie, sheep
Arron Hane, Kangaskhan, snake
Dusty Schaden IV, Primeape, duck
Winston Dare, Tentacool, moose
Nettie Schaefer, Jynx, koala
Miss Vince Abbott, Kangaskhan, snake
Garrett Schoen, Clefairy, sardine
Mr. Elaina Ryan, Snorlax, whale
Gena Hand, Weezing, mink
Tim Ullrich, Rapidash, herring
Kamala Purdy, Exeggutor, platypus
Dr. Bobbie Yundt, Magnemite, hippopotamus
Ms. Caron Ebert, Weepinbell, jackal
Dr. Rashad Koepp, Flareon, yak
Prince Adams, Dewgong, snail
Dee Littel, Meowth, eel
Miss Golden Feest, Doduo, crocodile
Miquel McLaughlin IV, Rapidash, snake
Georgeann Treutel, Seel, camel
India Kozey, Machop, otter
Leland Ernser, Pidgeot, zebra
Elisabeth Dietrich, Sandslash, hedgehog
Ila Bednar, Seaking, antelope
