Anderson O'Conner II, Gloom, wasp
Candis Rath, Primeape, scorpion
Kris Tillman, Mankey, butterfly
Mariella Hammes DDS, Dratini, oyster
Buster Reynolds, Starmie, rhinoceros
Kerri Brown MD, Rhydon, leopard
Ms. Deandre Deckow, Bellsprout, kangaroo
Ms. Luana Homenick, Lapras, tiger
Andera Douglas, Nidoran, kangaroo
Tangela Ullrich DDS, Nidoking, antelope
Broderick Howell DVM, Slowpoke, chimpanzee
Julius Schaden III, Nidorina, alligator
Suanne Rodriguez, Sandslash, jackal
Mrs. Scottie Halvorson, Abra, reindeer
Steven Carter, Articuno, trout
Adelaide Hilll II, Slowpoke, snail
Modesto Treutel DVM, Koffing, manatee
Laurena Funk, Ekans, yak
Nathan VonRueden, Weedle, sheep
Jaquelyn Blick, Magneton, deer
Edith Okuneva V, Magmar, wolf
Lindsay Little, Scyther, bear
Adalberto Kihn, Weedle, tiger
Stacey Beahan Jr., Staryu, pig
Reinaldo Gutmann, Nidoking, mallard
Ines Kuhic, Sandshrew, bat
Luann Cremin, Venomoth, antelope
Shawn Roberts, Ninetales, hyena
Kisha Denesik, Graveler, caribou
Masako Jaskolski, Vileplume, fox
Shelly Zemlak Jr., Pidgeot, termite
Wilma Strosin, Cubone, serval
Leonor Cartwright, Rattata, gorilla
Armand Gorczany, Muk, ape
Alphonso Kunze, Onix, ape
Dillon Wiza, Ponyta, alligator
Miss Courtney Ratke, Pinsir, ferret
Israel Price, Mew, mallard
Rhett Collier, Nidoran, woodchuck
Elvie O'Conner DVM, Alakazam, whale
Lamont Nicolas, Raticate, wolf
Mrs. Tracie Huel, Pidgey, badger
Laureen Bergnaum, Wigglytuff, yak
Lindsay Paucek, Clefairy, wildebeest
Malia Reichert, Weezing, wasp
Gita McKenzie, Pidgey, chimpanzee
Mr. Gwen Hagenes, Squirtle, fox
Tony Turcotte, Tentacruel, eel
Patricia Sanford, Graveler, yellowjacket
Dr. Hang Towne, Ponyta, grasshopper
