Emeline Rohan IV, Hypno, zebra
Michel Ziemann, Omastar, porcupine
Jacob Terry, Meowth, macaw
Janeth Littel, Weezing, cicada
Shanice Jakubowski III, Pidgey, termite
Ward Kirlin, Pikachu, scorpion
Deshawn Ward, Psyduck, cricket
Scott O'Hara, Zapdos, buffalo
Jude Herzog PhD, Vulpix, kangaroo
Jason Huels, Tauros, rat
Mr. Lakesha Hyatt, Nidoqueen, skunk
Ellsworth Donnelly, Venomoth, cricket
Henry Beatty, Alakazam, cicada
Winford Hodkiewicz, Tentacruel, hornet
Mr. Abram Hayes, Vaporeon, worm
Mr. Dominic Wiegand, Dragonite, walrus
Rhoda Beier, Dugtrio, eel
Micaela Krajcik, Kakuna, prairie dog
Edmond Schmeler, Vileplume, horse
Voncile Steuber, Dugtrio, duck
Estela Ritchie, Dratini, zebra
Linwood Schaefer, Rhyhorn, frog
Jeremy Witting, Jolteon, pug
Ilana Klein, Gyarados, goldfish
Tobias Schneider, Mr. Mime, ant
Barrett Emard, Rapidash, crow
Dorris Buckridge, Haunter, wombat
Angelo Frami, Ekans, rhinoceros
Devona Beer, Alakazam, walrus
Mrs. Lucile Schneider, Lickitung, crow
Mr. Kerry Trantow, Clefable, goat
Babara Brekke, Vileplume, horse
Dillon Gleichner III, Porygon, cattle
Jordon Pacocha, Staryu, gorilla
Miss Jerold Lakin, Pidgeot, chinchilla
Mr. Lemuel Friesen, Pinsir, rabbit
Mr. Perry Lind, Seaking, weasel
Ms. Damion Herman, Magnemite, sheep
Mrs. Giuseppe Ernser, Nidorino, snail
Max Murphy II, Zubat, platypus
Malcolm Greenholt, Voltorb, bat
Juliana Dicki, Kadabra, minnow
Ismael Emmerich, Tauros, dog
Mr. Dominick Thompson, Seaking, hare
Michal Cruickshank DDS, Jynx, mole
Dr. Stacey Bernhard, Arbok, mouse
Claude Romaguera Sr., Jolteon, trout
Lemuel Borer, Onix, elephant
Dayna Deckow DDS, Graveler, manatee
Fredric Emmerich, Scyther, wallaby
