Mr. Hong Klein, Dewgong, hound
Ben Schroeder, Beedrill, monkey
Lashaunda Collins, Grimer, hornet
Charmaine Cummings, Geodude, skunk
Arlie Kohler, Clefable, moose
Alica Sauer, Jigglypuff, badger
Lynna Will III, Mr. Mime, wolf
Gemma Koss, Ditto, buffalo
Ms. Gianna Bechtelar, Articuno, coyote
Marshall Toy, Sandshrew, rhinoceros
Dylan Gutkowski, Porygon, chinchilla
Steven Erdman, Victreebel, alpaca
Alva Langosh, Nidorino, skunk
Mrs. Michel Stoltenberg, Omastar, macaw
Columbus Grady, Flareon, horse
Carey Schaden, Electrode, beaver
Titus Mayer, Mewtwo, marten
Minh Kertzmann, Gengar, locust
Lina Schiller DDS, Slowbro, pig
Billy Nitzsche, Muk, wombat
Tanika Smith, Victreebel, hyena
Joel Wunsch, Pidgeotto, leopard
Miss Vania Gulgowski, Mr. Mime, swan
Julius Schaden, Pidgey, chimpanzee
Miss Freddy Beer, Rhyhorn, walrus
Aracely Rowe V, Nidoqueen, cricket
Mrs. Felecia Walter, Nidoking, bee
Barbara Corwin, Doduo, goldfish
Anamaria Powlowski MD, Charizard, goldfish
Mechelle Hane, Gyarados, koala
Joesph Toy, Onix, cat
Myron Borer PhD, Ekans, goose
Tarsha Dietrich, Golem, ape
Latarsha Kemmer III, Cloyster, salmon
Wendolyn Parisian IV, Arbok, alligator
Willie Hegmann DDS, Persian, mule
Miss Trinidad Terry, Snorlax, armadillo
Prince Braun, Metapod, lizard
Giuseppe Legros, Mewtwo, dolphin
Zenaida Barrows, Doduo, llama
Rebbeca Krajcik, Rattata, caribou
Frederic Bernier, Primeape, oyster
Paris Johnson, Mr. Mime, impala
Lu Breitenberg, Hypno, wallaby
Stormy Haley, Exeggutor, elk
Simone Bogan IV, Meowth, coyote
Ms. Nigel Stark, Parasect, alpaca
Miss Joana Streich, Kadabra, beaver
Charis McLaughlin, Omanyte, turtle 
Joye Runolfsson IV, Electabuzz, hare
