Elayne Batz, Magneton, goose
Marion Johnston DDS, Machop, tortoise
Tanner Durgan, Haunter, horse
Harrison Morar, Exeggutor, herring
Krystle Stanton, Scyther, yak
Irish Price, Omastar, eel
Mrs. Cole Batz, Goldeen, horse
Gregory Kemmer, Snorlax, snake
Clarence O'Connell, Golem, frog
Abe Kuhn III, Raichu, mink
Nathan Sauer, Jynx, grasshopper
Peter McClure, Zubat, zebra
Wes Rippin, Dugtrio, dinosaur
Stevie Treutel DVM, Mewtwo, porcupine
Emil Daugherty Jr., Starmie, salmon
Mr. Maudie Connelly, Nidoran, hamster
Gertude Jacobi, Diglett, jackal
Brinda MacGyver, Tangela, horse
Eloisa Huel, Lickitung, trout
Rayna Wisoky, Machop, rat
Wyatt Schaefer, Krabby, serval
Elena Hahn, Vulpix, spider
Ms. Verlie O'Reilly, Slowpoke, porpoise
Miss Micaela Weissnat, Nidoking, elk
Doretha Mohr, Machoke, gorilla
Eldon Homenick, Lapras, horse
Ariana Quitzon, Aerodactyl, mule
Gidget Bruen, Tentacruel, crocodile
Miss Alisia Connelly, Oddish, rat
Mr. Vi O'Keefe, Bellsprout, sheep
Danny Hagenes, Pinsir, ox
Mrs. Cody Hoeger, Zapdos, yellowjacket
Miss Elbert Hintz, Exeggcute, cod
Rosette Lakin, Exeggcute, macaw
Ione Nader, Electabuzz, salmon
Mohammed Wehner, Clefable, duck
Alix Reichert, Gastly, hornet
Federico Jerde I, Pidgeotto, woodchuck
Alton Ratke, Pikachu, cockroach
Nathanael Walker, Chansey, goose
Mammie Goyette, Hypno, swan
Carlee Gottlieb, Dewgong, gerbil
Josphine Jones, Ditto, badger
Kirstin Zulauf, Grimer, crow
Chase Littel, Geodude, pig
Mr. Gilbert Lubowitz, Venonat, cricket
Dion Adams, Ninetales, turtle 
Sade Hansen II, Hitmonchan, locust
Bertha Bode, Charizard, pug
Yung Steuber, Abra, badger
