Andria Hagenes, Omanyte, gnu
Meghann Rath, Kangaskhan, giraffe
Christoper Rogahn, Dragonair, snake
Jean Grant, Arbok, alpaca
Bert Quitzon, Nidorino, crab
Sima Zboncak, Grimer, fish
Belkis Mraz, Alakazam, goose
Nannie Schoen, Omastar, yak
Trevor Jenkins, Voltorb, whale
Darren Mraz, Geodude, fox
Delmer Robel MD, Zubat, bear
Tamra Mante, Starmie, llama
Mr. Lenny Leannon, Poliwhirl, water buffalo
James Lindgren, Nidoking, kangaroo
Mack Upton PhD, Slowbro, rabbit
Sydney O'Hara, Kabuto, cod
Kalyn Reichel DDS, Machoke, caribou
Sid Considine, Zubat, seal
Miss Jim Hessel, Onix, leopard
Althea Gerhold DDS, Magneton, baboon
Ms. Francis Lueilwitz, Porygon, weasel
Fabian Schmeler IV, Dratini, muskrat
Lesley Hand, Machamp, ant
Sunni Wilkinson, Clefairy, goldfish
Kristopher Fadel, Chansey, salmon
Carisa Macejkovic, Muk, lion
Niki McClure DDS, Rhyhorn, mammoth
Carmella Hilpert, Ninetales, hare
Ms. Josh Hudson, Pikachu, lizard
Mr. Earnest Dibbert, Seadra, goat
Wilford Pfannerstill, Machop, bear
Leisa Durgan, Graveler, gorilla
Mrs. Marcie Brown, Pidgeotto, wasp
Keiko Lockman, Haunter, koala
Hildred Haley, Drowzee, wasp
Todd Sporer, Porygon, chinchilla
Aimee Davis, Jynx, termite
Hai O'Reilly, Arbok, goldfish
Danilo Hettinger, Charizard, wolf
Lavelle Purdy V, Hypno, fish
Collene Dare, Spearow, grasshopper
Graig Pacocha, Kakuna, alpaca
Ashanti Rath PhD, Onix, elephant
Fletcher Emmerich, Growlithe, trout
Georgiana Ward, Muk, crocodile
Margart Bednar, Tangela, dinosaur
Geneva Block IV, Victreebel, kangaroo
Rayford Funk, Arcanine, sheep
Dr. Michal Muller, Articuno, crow
Noemi Crooks I, Ivysaur, fish
