Milton Nikolaus, Marowak, caribou
Sal Aufderhar, Mewtwo, coyote
Nick Kohler V, Machop, water buffalo
Dr. Ute Barrows, Machop, toad
Valeria Kihn, Gloom, shark
Tad Grimes, Aerodactyl, scorpion
Theron Nicolas, Ninetales, clam
Miss Hugh Thiel, Dewgong, hare
Kyle Haley MD, Gyarados, crow
Lorna Torphy, Dragonair, mink
Janita Stroman, Rhyhorn, rhinoceros
Miss Ciara Romaguera, Marowak, cricket
Tawana Hoeger Jr., Porygon, swan
Wilburn Flatley, Venusaur, seal
Janyce Strosin, Slowbro, hedgehog
Kaye Metz, Dodrio, hornet
Emil Connelly, Magnemite, platypus
Paul Gislason, Tauros, ant
Usha Hackett, Electabuzz, mammoth
Dr. Mariano Purdy, Dodrio, hedgehog
Brigitte Herman, Clefairy, wolf
Taylor Goldner, Rattata, bear
Mr. Bennett Wilderman, Bellsprout, cod
Scotty Fritsch, Wartortle, giraffe
Alecia Fritsch, Magnemite, koala
Mona Rau, Beedrill, ant
Jess Fadel, Nidoran, jellyfish
Colby Kihn I, Hitmonlee, chinchilla
Ms. Willetta Gerlach, Goldeen, hound
Shay Keeling, Alakazam, tortoise
Meagan Paucek, Poliwrath, elk
Yuko Beahan, Electrode, chinchilla
Michael Spinka, Exeggutor, beetle
Ms. Enda Lueilwitz, Weezing, gorilla
Daniel Hackett, Voltorb, jackal
Toshia Hirthe IV, Kingler, snake
Mayme Friesen, Ivysaur, ape
Lea Will, Pidgeot, chimpanzee
Allen Kuvalis Jr., Omastar, fish
Izetta Abernathy, Vulpix, goose
Miss Jolene Metz, Caterpie, mole
Kermit Emmerich, Venusaur, deer
Leroy Lindgren, Porygon, mink
Belia Murazik, Rattata, ox
Jessenia Block, Horsea, sea lion
Arnulfo Hansen, Pidgey, zebra
Latosha Kshlerin, Machamp, trout
Kyle Jones, Wigglytuff, crab
Vivienne Corwin, Slowpoke, mallard
Royal Wilkinson, Grimer, cat
