Charlsie Swift, Nidoran, hare
Ms. Harvey Marks, Eevee, cockroach
Seth Terry, Blastoise, hippopotamus
Miss Robbie Hills, Mr. Mime, cheetah
Jospeh Stamm, Rhyhorn, camel
Hershel Stoltenberg, Dragonite, cheetah
Sylvester Erdman Jr., Bellsprout, yellowjacket
Terrell Schneider, Ponyta, weasel
Sheryl Windler MD, Kingler, louse
Miss Sherman Friesen, Clefable, minnow
Edmund Schaefer, Venomoth, shark
Hipolito Murphy, Hitmonchan, buffalo
Thomas Boehm, Jigglypuff, walrus
Treva Stanton, Tentacool, serval
Maura Daugherty, Bulbasaur, prairie dog
Alpha Mitchell MD, Pikachu, cattle
Dirk Haley, Shellder, bear
Fritz Grady, Kangaskhan, walrus
Claribel Lehner, Vulpix, beetle
Karyn Hudson, Hitmonchan, platypus
Mardell Mayert, Pidgeotto, gerbil
Sybil McDermott, Dragonite, wallaby
Stacey Volkman, Slowpoke, cheetah
Ms. Bonny Gusikowski, Beedrill, lion
Michelle Dickens V, Kakuna, raccoon
Kenneth Hammes, Spearow, jackal
Susie Reilly MD, Jolteon, frog
Mr. Letha Gaylord, Charmander, cricket
Lacy Rowe, Tentacruel, cod
Walton Conn, Onix, antelope
Vincenza Reinger, Poliwhirl, goldfish
Renay Renner, Tangela, squirrel
Cornell Batz I, Muk, grasshopper
Keenan Jacobson, Drowzee, platypus
Claude Schroeder, Pinsir, ox
Lelah Koss, Mankey, bear
Marquetta Jakubowski MD, Shellder, badger
Shani Emmerich, Magneton, cockroach
Carlota Abshire MD, Mankey, sardine
Minh Douglas, Vaporeon, deer
Mac Walker, Weepinbell, coyote
Vida Bahringer DVM, Mr. Mime, cattle
Martin Denesik, Omastar, otter
Lyn O'Reilly, Staryu, marten
Aurea Thompson, Pidgeot, platypus
Jordon Reichel, Grimer, armadillo
Christopher Beahan, Nidoran, koala
Ha Muller, Onix, snake
Janell Crooks, Venomoth, fox
Salley Stamm, Kakuna, badger
