Tamekia Ullrich, Ninetales, wolf
Jean Torphy, Magmar, bat
Armando Hansen DVM, Cubone, deer
Scott Schamberger, Hitmonchan, salmon
Val Littel, Voltorb, dolphin
Lora O'Kon, Graveler, hippopotamus
Mr. Michel Flatley, Psyduck, sea lion
Tamisha O'Connell, Starmie, alpaca
Alva Goyette, Snorlax, rat
Ms. Diamond Murphy, Abra, eagle
Ms. Marth Ryan, Scyther, mammoth
Amina Turner, Sandshrew, mole
Kyung Hilpert, Metapod, ant
Johnny Renner, Blastoise, guinea pig
Gilberto Spencer, Machamp, lizard
Bessie Swaniawski, Hitmonchan, crocodile
Tammara Tromp, Squirtle, sea lion
Carman Harvey, Golem, monkey
Xavier Goyette, Tangela, ferret
Morris Purdy, Nidoqueen, guinea pig
Ms. Tiana Goyette, Machop, pig
Lakesha O'Hara DDS, Voltorb, beaver
Dr. Jessie Hagenes, Caterpie, cat
Brent Heaney I, Pidgey, crocodile
Jimmy Mante, Oddish, dinosaur
Dr. Kurtis Mohr, Tauros, cheetah
Daphne Konopelski, Slowpoke, cricket
Ms. Mickey Gorczany, Sandshrew, platypus
Randolph Powlowski, Farfetch'd, fish
Bruno Strosin II, Pinsir, spider
Dee Beer, Goldeen, leopard
Miss Kathryne Turcotte, Mewtwo, coyote
Shae Tromp, Onix, deer
Gertude Miller, Horsea, antelope
Oretha Gulgowski DVM, Ninetales, louse
Darius Gusikowski MD, Geodude, beetle
Royce Baumbach, Electrode, mosquito
Brian Jacobson, Charmeleon, platypus
Clarence Howell PhD, Venonat, hedgehog
Celeste Cole DDS, Clefable, pig
Kayleigh Hoeger, Arbok, cattle
Ms. Daren Abshire, Magnemite, donkey
Aron Morissette IV, Cloyster, koala
Justin Kihn, Rapidash, wolf
Ms. Ellie Mertz, Beedrill, alligator
Ruben Hammes, Clefable, mink
Rachael Johnston, Dragonite, donkey
Mrs. Freddie Gusikowski, Tentacruel, fox
Leonarda Reichel DDS, Aerodactyl, fox
Dallas Daugherty, Mew, goat
