Sparkle Erdman MD, Rapidash, herring
Senaida Jacobi, Ivysaur, coyote
Terra Kulas, Koffing, locust
Mechelle Wilkinson, Gengar, raccoon
Miss Deedra Yost, Victreebel, chimpanzee
Lanita Kemmer Sr., Exeggutor, antelope
Dr. Marlene Rosenbaum, Omastar, cat
Sherron Leffler, Sandshrew, hound
Jame Muller IV, Seadra, rat
Sherilyn King, Muk, jellyfish
Shanta Gibson, Butterfree, badger
Mel Okuneva, Marowak, crocodile
Lester Heaney II, Golduck, antelope
Miss Alicia Roob, Hitmonchan, impala
Miss Tiara Dach, Primeape, buffalo
Cornelia Goyette, Ponyta, moose
Mandy VonRueden PhD, Nidoran, guinea pig
Kayleen Wisoky, Venonat, cricket
Joleen Yundt, Gengar, herring
Miss Billy Casper, Oddish, mink
Miquel Walker, Omanyte, grasshopper
Lacy Greenholt, Persian, beetle
Troy Abshire, Snorlax, water buffalo
Mrs. Harriet Stanton, Golduck, alligator
Murray Hodkiewicz, Blastoise, guinea pig
Adelaida Wehner, Gloom, goose
Jonah Jacobson, Tauros, snail
Cliff Carter, Psyduck, camel
Kathey Torphy DDS, Muk, muskrat
Margrett Bechtelar II, Ditto, seal
Dr. Jorge Marquardt, Muk, snail
Karleen Stamm, Drowzee, rat
Jermaine Stehr, Weezing, goat
Cecil Harber DDS, Victreebel, rhinoceros
Arlen Willms, Jynx, hippopotamus
Sidney Dooley, Rhydon, cattle
Kathline Bashirian, Weedle, yak
Denisha Fadel, Raticate, gerbil
Contessa McGlynn DDS, Venomoth, seal
Denver Cummings, Golbat, gnat
Dr. Andrew Jacobson, Nidorina, bear
Ngan Monahan, Caterpie, rhinoceros
Vicente Kuhn, Nidorina, squirrel
Chelsey Kreiger, Rhydon, jackal
Karole Kunze, Mewtwo, woodchuck
Dr. Jeane Kling, Rattata, dog
Jerry Corkery, Moltres, hedgehog
Lisa Schumm MD, Exeggutor, grasshopper
Alleen Herman, Hypno, wolf
Dr. Selma Runolfsdottir, Electrode, muskrat
