Renato Walter, Gyarados, mosquito
Deborah Smith, Electrode, clam
Sam Ebert, Lickitung, yellowjacket
Ms. Veronica Gorczany, Kangaskhan, zebra
Shelley Jenkins, Mew, mosquito
Mr. Rafael Doyle, Persian, oyster
Carmela Stoltenberg, Fearow, cattle
Mrs. Nathaniel Wilderman, Ditto, armadillo
Danyelle Lueilwitz, Magneton, hamster
Ellsworth Denesik II, Sandshrew, snail
Elsy Altenwerth, Exeggcute, fox
Lupe Mueller, Butterfree, sardine
Angeles Pagac MD, Geodude, ant
Ezra Bartoletti DDS, Jigglypuff, frog
Eldon Hessel, Ditto, weasel
Lamont Koelpin, Ivysaur, muskrat
Daphine Gorczany MD, Weepinbell, wasp
Raye Gutkowski, Charmeleon, shark
Ms. Cory Corwin, Squirtle, clam
Jackie Hills, Rhydon, crow
Ligia Ryan I, Mew, deer
Leonor Dare, Vaporeon, mink
Graham Cummerata, Caterpie, armadillo
Mr. Zina Moen, Geodude, grasshopper
Francesco Dietrich PhD, Dragonair, kangaroo
Nam Ziemann, Venonat, giraffe
Mana Kub, Zapdos, hound
Rayford Lynch, Tentacool, muskrat
Eliseo Roberts, Dugtrio, leopard
Stefanie Schultz PhD, Hypno, trout
Armando Hansen, Rhyhorn, eagle
Duncan Waters, Venusaur, cod
Sherman Jacobs, Golem, elk
Donnie Goldner, Slowpoke, otter
Ms. Isidro Prohaska, Doduo, dog
Eugene Kemmer, Omastar, beaver
Helaine Thiel, Charmander, beaver
Derek Stoltenberg MD, Charmander, donkey
Marc Johnston, Wigglytuff, rabbit
Hollis Lemke, Aerodactyl, fox
Dr. Carri Yost, Onix, whale
Mariano Mueller, Dragonite, grasshopper
Jordon Labadie, Paras, seal
Rhett Ward, Slowbro, whale
Krystal Cassin, Machop, tiger
Mr. Timothy Gleason, Dragonite, macaw
Jerry Schulist, Venonat, ox
Dr. Eduardo Muller, Arbok, baboon
Miss Weldon Conn, Bellsprout, sardine
Cristobal Howe, Exeggcute, camel
