Miss Marc Schiller, Electrode, alpaca
Geraldo Herman, Gastly, beetle
Dylan Ebert, Caterpie, ferret
Ryan Marvin, Voltorb, porcupine
Stan Lockman, Krabby, porpoise
Geraldine Reilly, Chansey, ape
Dr. Socorro Turner, Bellsprout, mole
Michel Blanda, Caterpie, mosquito
Dr. Victor Littel, Meowth, gerbil
Anjelica Feeney I, Kabutops, gerbil
Ms. Laquanda Vandervort, Fearow, goldfish
Celsa Rohan V, Seaking, ferret
Jay Huels, Psyduck, fly
Booker Pollich, Machamp, dolphin
Wilbur Little, Aerodactyl, dog
Margret Conn, Wartortle, snake
Lindsay Stokes, Aerodactyl, caribou
Natasha Pagac, Dragonair, cattle
Trevor Cronin MD, Tentacruel, pug
Dr. Melvina Monahan, Kangaskhan, sea lion
Magan Schaden MD, Poliwrath, sardine
Mao Rolfson, Blastoise, wallaby
Cecil Nikolaus III, Poliwhirl, dinosaur
Lyda Sporer, Magmar, rhinoceros
Ms. Royal Mills, Vulpix, tiger
Mrs. Isaiah Gerhold, Raticate, snake
Mr. Chas Quigley, Goldeen, yellowjacket
Dr. Buck Pouros, Hitmonlee, wasp
Alita Zieme, Vaporeon, porpoise
Tilda Sawayn, Caterpie, cod
Gertude Gulgowski, Nidoking, kangaroo
Ms. Stacy Rosenbaum, Paras, duck
Merlin King, Cubone, elephant
Pilar Swift, Scyther, mammoth
Malorie Lemke, Charmeleon, oyster
Chadwick Stiedemann II, Pikachu, squirrel
Deidre Hyatt, Articuno, jellyfish
Arnoldo Schmitt, Pinsir, goat
Adrianna Nolan IV, Psyduck, water buffalo
Migdalia Hartmann, Graveler, ape
Randal Sipes PhD, Growlithe, spider
Cole Green, Kakuna, muskrat
Rubin Quitzon, Goldeen, rabbit
Jasper Hessel, Ivysaur, gnu
Deon Mertz, Omastar, frog
Nobuko Aufderhar, Machop, ferret
Socorro Feest, Eevee, bee
Mrs. Clint Kris, Wartortle, beaver
Samella Lehner, Diglett, whale
Tanner Simonis, Nidorino, tortoise
