Alan Franecki, Rattata, dog
Waylon Bauch, Ponyta, rhinoceros
Dirk Conn, Venonat, bear
Mr. Hans Welch, Beedrill, cat
Antionette Considine, Ivysaur, guinea pig
Kyung King, Geodude, wallaby
Candra McLaughlin, Diglett, gnu
Van Osinski DDS, Wartortle, ferret
Maurine Huel, Tauros, muskrat
Mrs. Mitzi Fisher, Diglett, walrus
Blanca Mertz, Vaporeon, duck
Francis Hudson, Rhyhorn, raccoon
Rebecka Ernser, Farfetch'd, elk
Dewayne Fritsch MD, Parasect, mole
Sharee Rempel, Dewgong, horse
Fermin McLaughlin, Seaking, raven
Tajuana Skiles, Nidorina, hippopotamus
Grayce Ernser, Jolteon, sardine
Ms. Arianne Bechtelar, Nidoran, trout
Nathaniel Streich, Wigglytuff, lion
Sima Prohaska, Jynx, locust
Dr. Otha Goldner, Graveler, rat
Mrs. Maye Hamill, Metapod, goldfish
Samual Von III, Scyther, ferret
Jerlene Gleichner, Beedrill, pug
Francis Howell, Seadra, fish
Catina Lockman, Vulpix, worm
Pa Hegmann, Muk, badger
Trent Beahan, Venonat, goat
King Ortiz DVM, Omastar, wildebeest
Merry Boehm, Zubat, wallaby
Miss Sierra Weissnat, Mewtwo, fly
Loreen Kautzer, Shellder, mouse
Elenora Jast, Meowth, sardine
Moises Hoeger, Arcanine, platypus
Ms. Germaine Cummerata, Charizard, coyote
Ozella Barrows, Zapdos, llama
Janetta Runolfsdottir, Butterfree, prairie dog
Nisha VonRueden Sr., Nidoqueen, turtle 
Fidel Daniel, Wigglytuff, zebra
Randa Heathcote, Weezing, otter
Lorrie Stanton, Graveler, elephant
Ha Koepp, Pidgeotto, lizard
Theodore Osinski, Diglett, badger
Cameron Christiansen, Seadra, reindeer
Dr. Son Greenfelder, Nidorina, skunk
Denver Jakubowski, Mankey, zebra
Eliseo Leannon, Wigglytuff, rhinoceros
Todd Osinski V, Cubone, turtle 
Mrs. Pearlene Dach, Shellder, wasp
