Maudie Lesch, Dratini, crow
Soledad Douglas, Clefairy, llama
Precious Frami II, Wigglytuff, shark
Mrs. Amado Schulist, Charizard, clam
Ms. Kimberely Nader, Poliwag, herring
Jessi Treutel, Dragonite, serval
Kayla Rippin II, Moltres, chinchilla
Austin Hermann, Gastly, bat
Tamesha Buckridge, Pidgeot, ape
Felix Dooley PhD, Bulbasaur, pig
Dani Strosin Jr., Dodrio, oyster
Mickey Hills, Jigglypuff, cat
Carmela Macejkovic III, Charmander, elk
Yoshie Stoltenberg, Zubat, kangaroo
Miss Augustina Armstrong, Geodude, horse
Lyman Frami, Sandshrew, mule
Ken Brakus, Charmander, eel
Dr. Emery Daugherty, Vaporeon, panda
Miss Antonia Johnston, Krabby, hound
Edmundo Funk, Alakazam, raccoon
Winnifred Paucek, Magmar, bear
Steve Koelpin Jr., Oddish, llama
Xavier Sawayn, Flareon, jellyfish
Christi O'Reilly, Grimer, clam
Miss Charlie Kessler, Kingler, badger
Caitlyn Koepp, Mewtwo, gerbil
Lamont Witting, Nidoqueen, kangaroo
Carroll Bernier, Omanyte, snake
Virgilio Kihn, Squirtle, panda
Mr. Alex Barrows, Jolteon, squirrel
Chelsie Glover, Cubone, whale
Sylvester Jones, Drowzee, platypus
John McCullough II, Beedrill, chinchilla
Mrs. Chelsie Wisozk, Tangela, cheetah
Mr. Claudio McGlynn, Machoke, hound
Derrick Schultz, Shellder, gerbil
Yukiko Rippin, Abra, frog
Albert Kozey, Magneton, fish
Sharolyn Kessler, Staryu, tortoise
Gregorio West, Zubat, fish
Napoleon O'Conner III, Weezing, mouse
Mrs. Jose Wehner, Kakuna, guinea pig
Charlsie Collier, Caterpie, rhinoceros
Dr. Fausto Hodkiewicz, Alakazam, termite
Yolonda Smitham, Seadra, marten
Randall Renner, Nidorino, walrus
Coy Lakin, Tangela, reindeer
Darrin Conn IV, Metapod, kangaroo
Augustine Cruickshank, Starmie, bat
Georgette Conn, Diglett, rhinoceros
