Malinda Mertz, Geodude, caribou
Mr. Vera Yost, Pidgeotto, grasshopper
Rosalee Weissnat PhD, Seadra, mammoth
Ferdinand White DDS, Kangaskhan, turtle 
Dovie Crona, Chansey, hornet
Leisha Orn, Magnemite, mink
Pamela Blanda Jr., Flareon, hedgehog
Shavonne Gibson, Charmander, reindeer
Eldora Raynor IV, Nidorino, baboon
Buster Cormier, Weedle, badger
Suzie Conn, Clefable, frog
Mr. Wan Rath, Golduck, prairie dog
Veola Hirthe, Mew, mole
Twanna Gutkowski DVM, Lapras, snake
Eusebia Heller, Zapdos, butterfly
Mrs. Tory Dickens, Raichu, woodchuck
Wes Huels, Nidoran, locust
Bertram Medhurst, Grimer, camel
Ms. Jordon Fay, Eevee, panda
Dr. Jonathan Durgan, Pidgeot, goose
Lupe Schamberger, Nidoran, butterfly
Dr. Vernon Schaefer, Marowak, bat
Alejandro Lesch, Ivysaur, elephant
Vernon Crist, Ditto, raccoon
Elwood Bauch, Moltres, goldfish
Earl Cartwright PhD, Chansey, alligator
Clint Larkin, Psyduck, cheetah
Dr. Roy Swift, Jolteon, pug
Collene Hermann, Staryu, wombat
Maynard Hansen, Graveler, crow
Latonya Koch, Ditto, jellyfish
Hilma Fisher, Zapdos, serval
Shavon Schoen, Charmander, wolf
Morgan Larkin, Blastoise, louse
Gregg Runolfsson, Caterpie, jellyfish
Shannon Hackett, Kabutops, herring
Stefanie Tromp, Machoke, frog
Kellee Jacobs, Porygon, worm
Winfred Jerde, Clefairy, turtle 
Deedee Cummings, Spearow, beaver
Dr. Bret Marquardt, Squirtle, rhinoceros
Hugo Rosenbaum I, Poliwhirl, mouse
Kim Fahey, Alakazam, clam
Helene Prosacco, Zapdos, tortoise
Waylon Pouros, Machoke, crab
Desmond Spinka MD, Nidoqueen, tiger
Kim Sporer III, Muk, impala
Luther Torphy, Ninetales, cat
Laquita Koch, Pikachu, giraffe
Rosette Bailey MD, Psyduck, goose
