Mr. Francina Simonis, Golduck, worm
Dr. Chadwick Hackett, Magmar, caribou
Troy Bosco Jr., Pinsir, giraffe
Cedrick Gottlieb I, Tentacool, herring
Kirsten Stanton, Electrode, gnu
Vaughn Heller, Kakuna, trout
Halley Runte, Horsea, deer
Lovie Marquardt, Horsea, shark
Jenine Pouros, Exeggutor, clam
Lamont Schuppe, Golem, prairie dog
Fleta Oberbrunner IV, Venomoth, seal
Shavon Hudson, Aerodactyl, impala
Orville Gulgowski, Nidorina, cod
Andreas Greenholt, Cloyster, sardine
Catrice Rau, Dodrio, mosquito
Miriam Lang, Sandslash, caribou
Hipolito Willms I, Clefairy, lizard
Jayne Wisozk, Starmie, jellyfish
Mrs. Gary Abernathy, Pidgeot, crow
Britt Pollich, Clefable, camel
Zack Boyle, Charizard, spider
Fe Robel, Electrode, coyote
Dr. Jules Fahey, Cloyster, fox
Temika Bosco DVM, Kabuto, hornet
Ms. Rubye Sanford, Ivysaur, deer
Raleigh Franecki, Dragonair, herring
Bob Swaniawski, Seaking, goose
Wynona Klocko, Marowak, tiger
Ms. Cuc Hettinger, Zubat, toad
Refugio Mante, Rattata, mouse
Carmelo Shields II, Raichu, camel
Latrisha Predovic, Porygon, wallaby
Peggy Casper, Poliwrath, squirrel
Annie Hills, Ponyta, tiger
Ms. Brian Beatty, Hitmonlee, yak
Pinkie Satterfield, Tentacruel, dinosaur
Harland Marvin II, Oddish, skunk
Belinda Corkery DVM, Rapidash, serval
Lillian Ruecker, Ekans, fox
Rudolph Murray, Lapras, sea lion
Lorinda D'Amore, Golduck, guinea pig
Milton Russel, Lickitung, mole
Josh Langworth, Grimer, armadillo
Miss Rath V, Dratini, frog
Herbert Davis, Parasect, walrus
Mr. Marita Runte, Golem, water buffalo
Mrs. Lon King, Gastly, rhinoceros
Raina Murphy, Hypno, gerbil
Lionel Koepp PhD, Jolteon, koala
Dewayne Goyette, Raichu, cricket
