Ms. Gilberto Rau, Chansey, snail
Ms. Neville Spencer, Alakazam, hamster
Dr. Delmy Goyette, Raichu, snail
Isela Wisozk, Paras, eagle
Miss Rena Muller, Kingler, locust
Clelia Weissnat, Rapidash, louse
Issac Kunze, Drowzee, rat
Dorris Cummerata, Machop, impala
Forrest Larson, Caterpie, kangaroo
Kit Herman, Kakuna, kangaroo
Chantelle Green, Tangela, cheetah
Dr. Raymond Towne, Staryu, herring
Marlin Skiles, Rapidash, shark
Andy Jast, Haunter, snake
Jeraldine Schmitt, Nidoran, leopard
Milton Monahan, Poliwhirl, impala
Bernard Altenwerth IV, Nidoran, sardine
Lorenzo Wintheiser, Clefairy, ant
Alpha Nienow, Koffing, tiger
Mr. Evita Kuphal, Rattata, seal
Miss Ligia Haag, Butterfree, cat
Arlette Schiller, Rapidash, hedgehog
Sal Barton, Kingler, caribou
Andrew Boehm, Kangaskhan, duck
Jeanie Kub, Farfetch'd, duck
Devon D'Amore, Ivysaur, sea lion
Elia Kulas, Goldeen, porpoise
Carroll Koss, Krabby, ant
Deetta Crooks DDS, Dugtrio, pig
Joselyn Christiansen DDS, Meowth, pig
Gino Walker, Seaking, gnat
Ms. Rosina Ruecker, Oddish, tiger
Stanley Flatley, Hypno, jackal
Carline Gleason Sr., Weedle, bear
Mariano Hansen, Spearow, armadillo
Lupe Beahan Jr., Eevee, ferret
Eli Mraz PhD, Seadra, fly
Kelley Becker, Fearow, toad
Rolando Torp, Machoke, seal
Mr. Barry Walter, Slowpoke, prairie dog
Stephan Fisher, Golem, crocodile
Lupe Parker, Dragonite, baboon
Malena Torp, Porygon, serval
Miquel Ernser, Caterpie, eel
Randy Stark, Tentacruel, cat
Ms. Rey Schowalter, Seaking, jellyfish
Mr. Rudolph Stehr, Venonat, hedgehog
Madeline Russel, Muk, sheep
Richie McKenzie, Shellder, ape
Betsey Wilderman, Raichu, snake
