Mr. Wm Kohler, Shellder, sheep
Marcie Schowalter, Chansey, badger
Miss Cyril Kemmer, Krabby, yellowjacket
Vickie Labadie, Dratini, platypus
Jason O'Kon MD, Shellder, giraffe
Dr. Amos Kreiger, Voltorb, gerbil
Ms. Gavin Smith, Hypno, hedgehog
Karl Wyman, Butterfree, elk
Rufus Nolan DVM, Mr. Mime, porcupine
Jada Borer, Rattata, llama
Toi Kuvalis, Machoke, gnu
Merri McGlynn, Weedle, goldfish
Carrol Homenick, Dugtrio, elephant
Humberto Dicki, Wartortle, mouse
Alisha Frami, Alakazam, wombat
Jennifer MacGyver, Tangela, cat
Destiny Bartell, Articuno, sardine
Lanny Flatley, Magmar, goldfish
Tyree Collins DVM, Onix, lizard
Sol Schroeder, Butterfree, hare
Lionel Abernathy, Gengar, goose
Lynn Bayer, Seadra, serval
Erick Barrows, Aerodactyl, hare
Malorie Lehner, Magikarp, whale
Edmund Hansen V, Hitmonchan, dolphin
Mrs. Shelton Daugherty, Kingler, hamster
Jacquelyn Hansen, Doduo, guinea pig
Ms. Tad Lubowitz, Clefable, louse
Cleotilde Rippin, Hitmonlee, sea lion
Homer Littel III, Snorlax, antelope
Alec Ward, Squirtle, llama
Luna McCullough, Voltorb, wallaby
Sommer Gutmann, Vulpix, raccoon
Ms. Britt Schiller, Grimer, gerbil
Alan Nolan IV, Farfetch'd, bee
Kym Jacobson II, Moltres, elephant
Damion McGlynn, Jynx, eel
Buck Vandervort, Machop, ant
Daron Lockman II, Slowpoke, baboon
Jasper Walsh, Dragonair, hippopotamus
Carmen Stamm, Mr. Mime, bear
Manuel Deckow IV, Aerodactyl, trout
Kay Schroeder, Nidoqueen, minnow
Tyrone Connelly DDS, Drowzee, eagle
Carole Douglas Sr., Porygon, weasel
Junior Douglas, Golduck, trout
Cyrus Kunde, Shellder, worm
Sandee Wehner, Lickitung, gnat
Cleotilde Dickens, Dragonite, cat
Tommye Ortiz, Drowzee, yak
