Beatris Hartmann, Graveler, scorpion
Keven Kuhlman, Paras, reindeer
Gayle Bins, Kabuto, gorilla
Mrs. Erik Bosco, Nidoking, leopard
Milford Schaefer, Voltorb, frog
Clayton Blick, Raichu, mole
Rafaela Emard, Aerodactyl, jellyfish
Ms. Elvis Dach, Arbok, buffalo
Sena Kessler, Nidoking, wasp
Herschel Marks, Poliwag, termite
Franklyn Harris DDS, Cubone, water buffalo
Dudley Sawayn Sr., Wigglytuff, butterfly
Lakeshia Prohaska, Psyduck, tiger
Candice Gutmann, Voltorb, dog
Reed Schowalter, Dragonite, monkey
Emery Conroy, Vaporeon, yellowjacket
Harlan Kautzer, Jolteon, duck
Rachael Cruickshank III, Machop, shark
Francesco Rodriguez, Ninetales, donkey
Roberto Hudson, Hitmonlee, cockroach
Dino Lesch, Poliwrath, armadillo
Basilia Gusikowski, Raichu, porpoise
Estrella Greenfelder, Cubone, water buffalo
Reynaldo Flatley Jr., Omastar, walrus
Mrs. Hosea Kuhlman, Slowbro, alligator
Shyla Kessler, Victreebel, eagle
Abel Turcotte DVM, Vaporeon, reindeer
Mrs. Lucretia Pouros, Machop, mole
Mrs. Julietta Crona, Arcanine, alpaca
Myriam Langosh, Magnemite, wolf
Mr. Curtis Schroeder, Persian, bear
Cody Turner, Dratini, kangaroo
Freddy Langworth, Gyarados, whale
Weston Waelchi, Rhyhorn, frog
Clair Wilderman, Parasect, giraffe
Nadia Goodwin, Gengar, ferret
Adina Lind, Squirtle, bear
Fletcher Roberts, Nidoran, hyena
Rita Reichert, Starmie, camel
Derick Cummings, Ninetales, skunk
Mrs. Shawnda Hettinger, Onix, pig
Danial Christiansen, Krabby, shark
Jake Paucek, Poliwhirl, chimpanzee
Miss Alejandra Mosciski, Exeggutor, coyote
Ben Hyatt Sr., Arcanine, swan
Cletus Blick, Lickitung, reindeer
Crista Leffler V, Bulbasaur, monkey
Joe Nader, Rhyhorn, buffalo
Dorthy Harvey, Clefairy, wolf
Alejandro Kunze, Victreebel, trout
