Tuan Ankunding, Nidoqueen, camel
Renee Schultz, Psyduck, moose
Clayton Pfeffer, Sandslash, bear
Juli King, Seaking, armadillo
Dr. Cari Reilly, Eevee, goldfish
Miss Melissia VonRueden, Charmander, mammoth
Glenda Veum, Seel, gorilla
Charleen Harber, Sandslash, lion
Connie Frami, Tangela, donkey
Meghann Grimes DDS, Mankey, cockroach
Huey Lockman, Staryu, marten
Kelly Carter, Wartortle, chimpanzee
Bridgette Gerlach, Omanyte, mosquito
Lacy Nader, Geodude, cattle
Ms. Waylon Kovacek, Jigglypuff, cricket
Luciano Zieme I, Seadra, goat
Marilu Skiles, Sandslash, shark
Rashad Ankunding PhD, Lapras, weasel
Ericka Willms, Squirtle, wildebeest
Ozzie Nader, Chansey, raccoon
Hugh Denesik, Golduck, fly
Susan Kovacek, Ekans, donkey
Ivory Heller, Cubone, buffalo
Mrs. Marge Graham, Poliwag, otter
Yuk Torp, Spearow, jellyfish
Allen Schmitt, Slowpoke, caribou
Clyde Graham, Rhyhorn, wildebeest
Ms. Ahmed Gerlach, Raichu, impala
Ms. Davina Schmitt, Eevee, zebra
Dorthea Jacobs, Charmander, armadillo
Garry Rippin DVM, Tentacruel, mosquito
Lou Abernathy I, Omanyte, rabbit
Mr. Treasa Jenkins, Kabuto, clam
Glynda Ullrich, Kabutops, pug
Connie Kessler IV, Cloyster, mule
Emanuel Beatty I, Dragonite, sea lion
Ramon Gerhold, Ponyta, elk
Dr. Jonathon McKenzie, Ekans, bear
Desirae Marks, Seadra, chimpanzee
Mrs. Shanice Goldner, Pidgeot, porcupine
Lorna Hammes II, Dragonite, baboon
Ms. Chauncey Boyer, Metapod, moose
Ashli Dietrich, Geodude, pig
Lavinia Wilkinson, Mankey, seal
Bernie Rogahn, Parasect, wildebeest
Nicki Stokes, Spearow, eagle
Odell Hessel, Metapod, rat
Ms. Vince Pagac, Venusaur, spider
Mahalia Kris, Golbat, goat
Marshall Grady, Dewgong, armadillo
