Calvin Yost, Tauros, mule
Benedict Quitzon III, Goldeen, woodchuck
Boyce Mraz, Wartortle, cod
Loree Senger, Seel, ox
Velva Hilpert, Rattata, raccoon
Granville Swift Jr., Sandshrew, raven
Lashay Donnelly, Zubat, scorpion
Camila Cassin, Charmander, macaw
Mr. Torri Stanton, Nidoqueen, fly
Galen Lindgren MD, Voltorb, bear
Raleigh Hermann Jr., Seadra, herring
Emery Dietrich, Cubone, deer
Johnna Rohan, Mewtwo, jackal
Kyung Bins, Charmeleon, trout
Cora Rutherford, Eevee, giraffe
Valeria Nicolas, Slowbro, raven
Wade Hagenes PhD, Parasect, impala
Earnest Rempel, Nidoran, salmon
Verna Medhurst, Aerodactyl, coyote
Clemente Boehm, Primeape, pug
Maggie Strosin, Charmeleon, crab
Dewitt Emard, Magnemite, weasel
Chaya Schuster, Chansey, cricket
King White DVM, Venonat, hamster
Hildred Abbott, Gastly, eagle
Kenton O'Connell, Hitmonchan, spider
Darron Schmitt MD, Moltres, snake
Bernie Champlin, Dodrio, mosquito
Isreal Murray, Ivysaur, herring
Miss Ronnie Homenick, Nidoran, goldfish
Mr. Humberto Kulas, Vulpix, serval
Robbie Kunze, Pidgey, goose
Quincy Hauck V, Doduo, woodchuck
Leena Trantow, Ponyta, baboon
Son Macejkovic, Slowbro, beetle
Joycelyn Fadel, Lapras, hare
Edmund Glover MD, Victreebel, grasshopper
Dr. Lyman Koss, Nidorina, giraffe
Johnie Bednar, Aerodactyl, goat
Delorse Jaskolski, Kabuto, gerbil
Carl Batz III, Lapras, fly
Tarsha Collins, Magmar, camel
Mr. Elva Marks, Golbat, hornet
Loren Koelpin PhD, Clefable, ox
Wilbur Corwin, Alakazam, antelope
Darcel McGlynn Sr., Charmander, snail
Ozzie Satterfield, Vulpix, donkey
Brittani Wolff IV, Eevee, crow
Arron Prohaska MD, Hypno, impala
Dr. Lenard Nikolaus, Dugtrio, guinea pig
