Josefina Satterfield, Caterpie, lion
Jerica Berge, Arbok, gnat
Kiyoko Stiedemann, Gengar, butterfly
Eduardo Funk, Graveler, walrus
Florencio O'Keefe, Fearow, wallaby
Dr. Alfred Cremin, Ekans, guinea pig
Wilbur Herman PhD, Onix, fox
Johnathan Cruickshank, Mewtwo, cat
Maxwell Brekke, Ekans, snail
Dion Gleichner, Poliwrath, sea lion
Daron Block, Jigglypuff, cricket
Sang Pfeffer, Omastar, baboon
Hugo Kutch, Exeggcute, duck
Marylin Osinski, Geodude, crab
Miles Harris, Venonat, crow
Season Considine, Nidorino, buffalo
Ewa Wehner, Arbok, otter
Miss Dong Raynor, Aerodactyl, trout
Ahmed Skiles Jr., Beedrill, crab
Cassy Russel MD, Moltres, dinosaur
Deidre Kiehn II, Growlithe, dolphin
Milford DuBuque, Hitmonlee, cat
Lemuel Bahringer, Beedrill, water buffalo
Shala Labadie, Mankey, squirrel
Karri Rohan, Pidgey, termite
Elijah Hermann, Spearow, duck
Rudy Pacocha I, Golduck, herring
Mr. Jessi Dickinson, Exeggutor, woodchuck
Ms. Moses Johnson, Machoke, pug
Delcie Dibbert, Paras, lion
Delora Herman, Goldeen, serval
Philomena Reynolds, Cubone, skunk
Marvin Kihn, Kadabra, platypus
Patricia Howell DDS, Oddish, woodchuck
Von Boyer, Jolteon, manatee
Ms. Morgan Kshlerin, Meowth, fox
Gearldine Grady, Eevee, crocodile
Jeffrey Welch V, Nidoran, lizard
Mr. Wanda VonRueden, Mewtwo, monkey
Dr. Vannesa O'Kon, Golbat, hound
Donna Runolfsson, Zapdos, tiger
Carlos Strosin I, Mr. Mime, rhinoceros
Mattie Mayer, Cubone, monkey
Oswaldo Treutel, Beedrill, goat
Bruno Balistreri II, Nidoran, wildebeest
Anastacia Gulgowski, Dugtrio, elk
Randy Feest, Cloyster, turtle 
Frankie Yundt PhD, Charmander, ox
Mr. Tillie Feest, Pikachu, guinea pig
Willie Runolfsdottir MD, Magikarp, cat
