Mrs. Elmer Gulgowski, Wigglytuff, armadillo
Noble Witting, Pinsir, yellowjacket
Tobias Jast I, Weezing, mouse
Nelda Spinka III, Victreebel, water buffalo
Leland Kris, Machoke, seal
Denny Zemlak Jr., Staryu, hedgehog
Tobi Reinger, Growlithe, water buffalo
Peggie McKenzie Sr., Voltorb, mouse
Ms. Kristle Hamill, Clefairy, bee
Elmer Schaden, Weezing, mole
Leoma Weissnat I, Mewtwo, salmon
Ebonie Gulgowski, Sandslash, eagle
Walter Hartmann, Dugtrio, seal
Joanne Walter, Kadabra, lion
Lavette Russel II, Arcanine, hamster
Ms. Kristeen Sipes, Mankey, chimpanzee
Denver Toy, Cubone, wolf
Shenna Kunze II, Dewgong, mosquito
Lon Koss DVM, Blastoise, kangaroo
Barry Wintheiser, Kabuto, locust
Spencer Schaden, Pidgey, hedgehog
Jed Heathcote, Magneton, sea lion
Mrs. Valentin Welch, Ninetales, rat
Virginia Breitenberg, Moltres, louse
Mr. Jenise Schulist, Tauros, wasp
Shayne Hilll, Machop, butterfly
Raymon Bruen, Magneton, spider
Jerry Zieme, Slowpoke, reindeer
Carmen Tremblay, Weepinbell, squirrel
Paulina Hintz, Golem, rhinoceros
Mr. Janene Hessel, Charmander, deer
Elmo Russel, Articuno, muskrat
Johnnie Klocko, Parasect, otter
Roscoe Legros V, Kakuna, llama
Miss Lynwood Spencer, Horsea, bat
Cynthia Fay Sr., Oddish, eel
Heath Armstrong, Dugtrio, dolphin
Mrs. Eusebio Aufderhar, Doduo, gerbil
Everett Cartwright Jr., Grimer, otter
Liberty Metz, Zubat, bear
Gidget Hamill, Omastar, ape
Antonia Jakubowski, Pinsir, mink
Bradly Zulauf, Vulpix, eel
Britt O'Conner, Hitmonchan, platypus
Domitila Mayer, Metapod, trout
Debi Parker, Ditto, trout
Cara Littel, Beedrill, elk
Miss Assunta McLaughlin, Lickitung, rat
Karan Wisoky, Vileplume, leopard
Celestina Carter, Ivysaur, guinea pig
