Leisa Hackett, Arbok, alligator
Dr. Eustolia Cormier, Kingler, mosquito
Nisha Thiel, Mankey, elephant
Madelaine Cole, Cloyster, giraffe
Miss Anjanette Schaden, Weezing, spider
Brande Schuster, Raichu, buffalo
Ms. Leonarda Daniel, Drowzee, worm
Marni Barton Sr., Gyarados, sea lion
Tova Mertz, Poliwrath, turtle 
Maryanna Cormier, Meowth, dinosaur
Howard Christiansen, Gloom, koala
Yulanda Cassin, Drowzee, squirrel
Yee Breitenberg, Primeape, jackal
Billye Orn, Venomoth, pug
Ms. Vikki Abshire, Alakazam, eagle
Cleo Pagac, Diglett, water buffalo
Dr. Dewey Hackett, Goldeen, camel
Christoper Gaylord, Nidorina, moose
Kenyatta Lesch, Sandshrew, mink
Kraig Cummings I, Machamp, beetle
Phillip Lemke Jr., Beedrill, antelope
Mr. Sid Upton, Parasect, jackal
Danny Gislason DVM, Poliwrath, scorpion
Anthony Cronin, Abra, pug
Adina Jaskolski, Pidgeotto, bat
Kyong Trantow MD, Dragonair, porpoise
Hilton Christiansen, Koffing, dog
Mr. Alyse Collins, Venonat, pug
Mr. Terrell Schuster, Squirtle, clam
Johnsie Mills, Hitmonlee, bear
Joe Bednar, Charmander, ant
Mrs. Joan Green, Kadabra, macaw
Kortney Mayert, Metapod, wallaby
Dr. Truman Boyer, Tangela, raven
Genie Treutel PhD, Beedrill, chinchilla
Mrs. Marty Corwin, Kangaskhan, cricket
Delila Hamill, Geodude, rabbit
Jeannine Labadie, Raichu, impala
Camellia Tromp, Bellsprout, ferret
Chanelle Bogisich, Dratini, yak
Fausto Dicki, Mewtwo, pig
Cassondra Kuphal, Gastly, elk
Chris Olson, Kabuto, fox
Edwin Lynch, Onix, porcupine
Winter Johns, Weepinbell, mallard
Danika Dicki, Exeggcute, mosquito
Birdie Spencer, Dragonair, pug
Hunter Mann PhD, Victreebel, prairie dog
Miss Miquel Berge, Ponyta, panda
Lamont Balistreri, Hitmonlee, sea lion
